word;averageAoA;SD;Min;Max;ItemZScore;OralFreq_Log; WrittenFreq_Subtlex-ESP_Log; WrittenFreq_LEXESP_Log;WrittenFreq_espal_Log;espal_max_lem_cat;max_lem_code;espal_es_num_syll
sube;3.70;1.843;1;9;-1.041;2.100;3.334;2.033;1.161;VERB;VMIP3S0;2
subida;4.36;1.793;1;10;-0.777;1.785;1.863;1.944;1.387;NOUN;NCFS000;3
subir;3.82;1.587;1;8;-0.905;2.090;3.317;2.318;1.451;VERB;VMN0000;2
sublevación;10.72;0.882;6;11;1.241;0.778;0.903;1.230;0.867;NOUN;NCFS000;4
submarino;6.96;1.726;4;11;-0.247;0.903;2.751;1.114;0.907;NOUN;NCMS000;4
substancia;9.92;1.226;7;11;0.943;;1.204;1.079;0.673;NOUN;NCFS000;3
suburbio;10.10;1.741;3;11;0.967;0.477;1.556;1.362;0.599;NOUN;NCMS000;3
sucede;7.02;1.684;4;11;0.463;2.013;3.925;2.491;1.647;VERB;VMIP3S0;3
sucesión;9.84;1.434;7;11;0.892;1.204;1.964;2.025;1.384;NOUN;NCFS000;3
suceso;9.58;1.691;5;11;0.942;1.255;2.021;2.130;1.327;NOUN;NCMS000;3
sucia;4.18;1.870;1;8;-0.959;1.322;2.895;1.959;0.908;ADJECTIVE;AQ0FS0;2
suciedad;4.98;2.199;1;10;-0.688;0.602;2.236;1.623;0.553;NOUN;NCFS000;3
sucio;3.50;1.403;1;7;-1.309;1.431;3.173;1.954;0.936;ADJECTIVE;AQ0MS0;2
sudadera;6.74;1.882;3;11;-0.359;;1.964;;0.063;NOUN;NCFS000;4
sudor;5.52;1.930;2;10;-0.292;1.362;2.501;2.188;1.058;NOUN;NCMS000;2
sudorípara;10.40;0.990;7;11;1.191;;;;0.004;ADJECTIVE;AQ0FS0;5
suegra;8.76;2.036;3;11;0.466;1.591;2.215;1.477;0.517;NOUN;NCFS000;2
suegro;8.22;2.172;3;11;0.264;1.255;2.170;1.255;0.686;NOUN;NCMS000;2
suela;6.28;2.119;3;10;-0.317;0.699;1.799;1.398;0.390;NOUN;NCFS000;2
sueldo;8.56;2.224;3;11;0.569;1.924;2.733;1.959;1.131;NOUN;NCMS000;2
suele;7.02;2.075;1;11;0.522;2.410;2.806;2.697;1.880;VERB;VMIP3S0;2
suelen;7.26;1.651;4;11;0.537;2.107;2.551;2.556;1.725;VERB;VMIP3P0;2
suelo;3.14;1.818;1;8;-1.148;2.430;3.503;2.919;2.109;NOUN;NCMS000;2
suena;4.68;2.035;1;9;-0.735;2.152;3.786;2.107;1.033;VERB;VMIP3S0;2
sueño;3.90;1.865;1;10;-1.381;2.336;3.721;2.870;1.858;NOUN;NCMS000;2
sueños;5.00;1.895;2;9;-0.621;1.869;3.515;2.453;1.531;NOUN;NCMP000;2
suerte;6.00;2.040;2;11;-0.213;2.736;4.113;2.759;1.962;NOUN;NCFS000;2
suéter;4.26;1.747;1;11;-0.962;0.301;2.669;0.903;0.121;NOUN;NCMS000;2
suficiente;7.12;1.757;4;11;0.578;2.459;4.015;2.695;1.916;ADJECTIVE;AQ0CS0;4
sufijo;9.18;1.410;6;11;0.988;0.903;;0.301;0.545;NOUN;NCMS000;3
sufrimiento;8.14;1.773;4;11;0.278;1.531;2.846;2.176;1.311;NOUN;NCMS000;4
sufrir;7.56;2.111;4;11;0.388;1.903;2.952;2.283;1.549;VERB;VMN0000;2
sugestión;9.10;3.284;1;11;0.563;0.477;1.672;1.301;0.474;NOUN;NCFS000;3
suicidio;8.58;2.091;2;11;0.553;1.431;3.053;2.076;1.101;NOUN;NCMS000;3
suiza;8.92;1.926;4;11;0.592;1.591;2.449;1.949;1.649;NOUN;NP00000;2
sujetador;6.84;2.351;1;11;-0.087;1.000;1.785;1.322;0.151;NOUN;NCMS000;4
sujetar;5.98;2.152;1;11;-0.313;0.602;1.833;1.322;0.544;VERB;VMN0000;3
sujeto;8.80;1.290;3;11;0.868;1.978;3.341;2.459;1.616;NOUN;NCMS000;3
sulfúrico;10.49;0.668;1;11;1.592;0.301;1.447;1.000;0.357;ADJECTIVE;AQ0MS0;4
suma;5.10;1.298;2;8;-0.642;1.708;2.708;2.179;1.733;NOUN;NCFS000;2
sumar;4.86;1.229;3;7;-1.059;1.301;1.799;1.568;1.015;VERB;VMN0000;2
sumisión;10.40;1.294;5;11;1.482;0.778;1.681;1.643;0.875;NOUN;NCFS000;3
superdotado;8.46;1.887;4;11;0.409;0.699;1.230;1.176;0.215;NOUN;NCMS000;5
superficial;9.60;1.654;6;11;1.162;1.431;2.474;1.869;1.109;ADJECTIVE;AQ0CS0;4
superficie;8.54;1.971;4;11;0.572;2.021;2.973;2.507;1.992;NOUN;NCFS000;4
superior;7.52;1.940;4;11;0.457;2.250;3.094;2.691;2.172;ADJECTIVE;AQ0CS0;3
supermercado;4.30;1.854;1;8;-1.046;1.301;2.646;1.322;0.572;NOUN;NCMS000;5
superstición;9.56;1.692;5;11;0.954;1.146;2.093;1.398;0.634;NOUN;NCFS000;4
supervivencia;9.18;1.395;6;11;0.843;1.447;2.590;2.228;1.219;NOUN;NCFS000;5
súplica;9.28;1.762;4;11;1.141;0.602;1.568;1.301;0.594;NOUN;NCFS000;3
supone;7.50;1.832;4;11;0.622;2.334;3.719;2.636;1.895;VERB;VMIP3S0;3
supongo;7.74;1.988;4;11;0.687;2.632;4.153;2.344;1.194;VERB;VMIP1S0;3
suposición;10.20;1.309;6;11;1.024;0.477;2.369;1.462;0.687;NOUN;NCFS000;4
suprarrenal;10.86;0.405;9;11;1.369;0.301;0.845;0.602;0.204;ADJECTIVE;AQ0CS0;4
suprema;9.78;1.314;6;11;0.894;1.000;2.534;1.663;1.350;NOUN;NP00000;3
supremo;9.68;1.406;4;11;1.151;2.238;2.378;2.009;1.734;NOUN;NP00000;3
supuesto;8.72;2.119;4;11;1.238;2.942;4.081;2.238;2.020;ADVERB;RG;3
sur;6.14;1.750;3;11;-0.430;2.446;3.433;2.509;2.454;NOUN;NCMS000;1
surco;8.34;2.327;4;11;0.259;0.778;1.491;1.255;0.609;NOUN;NCMS000;2
surrealismo;10.52;1.515;1;11;1.285;1.041;0.778;0.699;0.690;NOUN;NCMS000;5
sus;4.58;2.091;2;11;-0.637;3.545;4.722;4.230;3.477;DETERMINER;DP3CP0;1
suspense;8.44;1.500;5;11;0.346;1.114;0.699;1.041;0.429;NOUN;NCMS000;3
suspenso;6.64;1.882;2;11;0.130;0.301;2.290;0.845;0.760;NOUN;NCMS000;3
suspiro;7.16;2.411;1;11;0.016;0.903;1.940;1.908;0.896;NOUN;NCMS000;3
sustantivo;8.66;1.745;5;11;0.872;1.079;1.477;1.362;0.656;ADJECTIVE;AQ0MS0;4
sustento;9.98;1.421;6;11;0.911;0.477;1.908;1.342;0.815;NOUN;NCMS000;3
susto;4.00;2.090;1;9;-1.304;1.826;2.719;1.924;0.830;NOUN;NCMS000;2
suyo;5.38;2.381;1;10;-0.260;2.310;3.371;2.705;1.687;DETERMINER;DP3MS0;2
tabaco;6.60;2.148;2;11;-0.253;1.924;2.498;2.516;1.453;NOUN;NCMS000;3
taberna;9.06;1.800;5;11;0.647;1.000;2.305;1.708;0.875;NOUN;NCFS000;3
