word;averageAoA;SD;Min;Max;ItemZScore;OralFreq_Log; WrittenFreq_Subtlex-ESP_Log; WrittenFreq_LEXESP_Log;WrittenFreq_espal_Log;espal_max_lem_cat;max_lem_code;espal_es_num_syll
diputados;10.18;1.480;5;11;1.310;2.117;1.633;2.090;2.073;NOUN;NCMP000;4
dique;9.96;1.261;6;11;0.978;0.301;1.875;1.000;0.746;NOUN;NCMS000;2
dirección;5.92;1.957;2;11;-0.541;2.465;3.590;2.651;2.275;NOUN;NCFS000;3
directamente;7.94;1.609;5;11;0.900;2.377;3.227;2.554;1.894;ADVERB;RG;5
directo;7.00;2.070;3;11;0.437;2.615;3.261;2.107;1.717;ADJECTIVE;AQ0MS0;3
director;5.88;1.825;2;10;-0.253;2.645;3.516;2.873;2.293;NOUN;NCMS000;3
diría;6.20;2.195;3;11;0.127;2.650;3.606;2.422;1.330;VERB;VMIC3S0;3
disciplina;8.54;2.197;4;11;0.426;1.785;2.526;2.270;1.473;NOUN;NCFS000;4
discípulo;7.72;2.286;2;11;0.163;0.903;1.771;1.491;1.256;NOUN;NCMS000;4
disco;6.26;2.174;2;11;-0.122;2.201;3.282;2.104;2.102;NOUN;NCMS000;2
disconformidad;10.08;1.226;6;11;1.248;0.301;1.041;1.114;0.423;NOUN;NCFS000;5
discoteca;8.96;2.070;3;11;0.928;1.623;2.143;1.663;0.688;NOUN;NCFS000;4
disculpa;6.80;2.619;2;11;-0.208;1.255;3.716;1.623;0.715;NOUN;NCFS000;3
discurso;8.50;1.951;4;11;0.634;1.996;3.196;2.583;1.805;NOUN;NCMS000;3
discusión;6.94;2.436;1;11;-0.174;1.987;2.943;2.161;1.522;NOUN;NCFS000;3
disertación;10.94;0.314;9;11;1.319;0.477;1.477;0.778;0.449;NOUN;NCFS000;4
disfraces;4.16;1.557;2;11;-1.158;0.903;2.462;1.279;0.568;NOUN;NCMP000;3
disfraz;4.06;1.517;1;8;-1.388;1.000;2.812;1.568;0.667;NOUN;NCMS000;2
disfrutar;6.68;2.015;2;11;0.056;1.886;2.867;1.996;1.267;VERB;VMN0000;3
disfrute;7.82;2.097;3;11;0.433;1.362;2.484;1.681;0.746;NOUN;NCMS000;3
disgustado;7.38;2.147;4;11;-0.070;0.778;2.045;1.041;0.452;ADJECTIVE;AQ0MSP;4
disgusto;8.26;2.397;2;11;0.416;1.531;1.799;1.903;0.944;NOUN;NCMS000;3
disminución;8.64;1.675;5;11;0.577;0.954;1.748;2.033;1.281;NOUN;NCFS000;4
disolución;10.38;1.028;7;11;1.081;0.903;1.699;1.690;1.197;NOUN;NCFS000;4
disparar;6.04;2.249;2;11;-0.555;1.230;3.112;1.663;1.054;VERB;VMN0000;3
disparo;6.98;2.403;3;11;-0.223;1.230;3.138;1.756;1.144;NOUN;NCMS000;3
disposición;9.70;1.474;5;11;0.879;2.049;2.580;2.373;1.824;NOUN;NCFS000;4
disputa;9.52;1.313;6;11;0.773;1.681;2.185;1.851;1.378;NOUN;NCFS000;3
distancia;6.48;2.358;2;11;-0.266;2.161;3.204;2.599;1.923;NOUN;NCFS000;3
distante;8.68;2.055;2;11;0.381;1.079;2.389;1.908;0.983;ADJECTIVE;AQ0CS0;3
distinción;9.40;1.726;5;11;0.718;1.491;1.944;2.097;1.381;NOUN;NCFS000;3
distinta;4.96;1.906;1;9;-0.491;2.283;2.764;2.398;1.487;ADJECTIVE;AQ0FS0;3
distintas;5.32;1.708;2;9;-0.282;2.350;2.792;2.621;1.924;DETERMINER;DI0FP0;3
distinto;5.58;2.177;2;11;-0.246;2.340;3.115;2.476;1.529;ADJECTIVE;AQ0MS0;3
distintos;5.40;1.979;2;11;-0.373;2.344;2.770;2.648;1.961;DETERMINER;DI0MP0;3
distorsión;9.94;1.544;5;11;0.954;0.301;1.681;1.415;0.765;NOUN;NCFS000;3
distracción;8.10;1.644;5;11;0.588;0.778;2.563;1.362;0.679;NOUN;NCFS000;3
distraer;7.26;1.925;3;11;-0.089;0.778;1.959;1.380;0.527;VERB;VMN0000;3
distribución;9.52;1.619;5;11;0.720;1.748;2.386;2.182;1.789;NOUN;NCFS000;4
distribuidor;9.72;1.617;4;11;1.129;0.699;1.968;0.602;0.482;ADJECTIVE;AQ0MS0;4
distrito;10.26;1.322;5;11;1.091;1.462;3.062;1.415;1.968;NOUN;NCMS000;3
disturbio;10.06;1.150;7;11;0.982;;1.959;;0.154;NOUN;NCMS000;3
disuadir;10.12;1.394;5;11;1.085;0.477;1.301;0.845;0.430;VERB;VMN0000;3
diván;10.22;1.516;3;11;1.139;0.301;1.531;1.602;0.580;NOUN;NCMS000;2
diversidad;9.84;1.621;4;11;0.857;1.146;1.978;1.881;1.540;NOUN;NCFS000;4
diversión;5.80;2.347;2;11;-0.644;1.519;3.147;1.799;0.904;NOUN;NCFS000;3
divertida;5.02;1.846;2;10;-0.657;1.633;2.896;1.771;0.678;ADJECTIVE;AQ0FSP;4
divertido;4.40;1.702;1;8;-0.684;1.949;3.752;2.013;0.926;ADJECTIVE;AQ0MSP;4
divertirse;5.18;1.903;1;9;-0.538;1.322;2.728;1.519;0.637;VERB;VMN0000;4
dividir;6.88;1.365;2;10;0.036;1.279;2.236;1.462;1.034;VERB;VMN0000;3
divina;8.38;2.249;4;11;0.718;1.255;2.530;1.785;1.470;ADJECTIVE;AQ0FS0;3
división;7.20;1.726;3;11;0.105;2.167;2.925;2.246;2.094;NOUN;NCFS000;3
divorciado;8.42;2.177;3;11;0.407;1.041;2.294;1.041;0.357;ADJECTIVE;AQ0MSP;4
divorcio;7.90;1.764;5;11;0.302;1.799;3.117;1.763;1.025;NOUN;NCMS000;3
dni;8.90;1.810;5;11;0.902;;1.041;0.699;0.677;NOUN;NP00000;1
doblar;4.60;1.340;2;8;-0.633;1.041;2.386;1.602;0.699;VERB;VMN0000;2
doble;6.56;2.042;3;11;-0.073;2.297;3.451;2.661;1.904;ADJECTIVE;AQ0CS0;2
doblez;8.16;2.253;4;11;0.554;;;1.230;0.332;NOUN;NCMS000;2
doce;3.83;0.818;2;8;-0.904;2.870;3.086;2.566;1.738;DETERMINER;DN0CP0;2
docente;10.08;1.536;5;11;1.010;0.954;1.708;1.176;1.045;ADJECTIVE;AQ0CS0;3
doctor;4.46;1.729;1;9;-0.798;2.612;3.883;2.705;1.834;NOUN;NCMS000;2
doctrina;10.26;1.209;6;11;1.133;1.415;1.778;2.009;1.602;NOUN;NCFS000;3
documentación;9.78;1.595;5;11;1.017;1.851;2.276;1.903;1.360;NOUN;NCFS000;5
documento;8.78;2.122;3;11;0.581;2.013;2.723;2.233;1.838;NOUN;NCMS000;4
dogma;10.72;0.701;8;11;1.277;0.954;1.380;1.362;0.874;NOUN;NCMS000;2
dólar;8.44;2.168;3;11;0.364;1.301;2.879;1.580;1.221;NOUN;NCMS000;2
dólares;8.66;2.096;3;11;0.426;1.987;3.963;2.512;2.072;NOUN;NCMP000;3
dolencia;7.30;2.837;3;11;-0.102;0.778;1.204;1.491;0.719;NOUN;NCFS000;3
doler;2.96;1.484;1;7;-1.542;0.845;2.554;0.845;0.193;VERB;VMN0000;2
dolor;3.60;1.927;1;9;-1.490;2.389;3.711;2.746;1.837;NOUN;NCMS000;2
domicilio;6.18;2.413;1;11;-0.499;2.045;2.535;1.996;1.405;NOUN;NCMS000;4
dominación;9.34;1.710;6;11;0.839;0.602;1.813;1.623;1.158;NOUN;NCFS000;4
dominancia;9.90;1.374;7;11;1.242;;;0.477;;;;
dominante;8.62;1.713;4;11;0.788;1.322;2.201;1.833;1.252;ADJECTIVE;AQ0CS0;4
domingo;3.68;1.332;1;7;-0.958;2.501;3.219;2.550;2.107;NOUN;NCMS000;3
domingos;4.16;1.557;2;7;-0.757;2.117;2.531;2.104;1.155;NOUN;NCMP000;3
dominicana;9.32;1.755;4;11;0.989;1.146;1.491;1.114;1.177;NOUN;NP00000;5
dominio;9.24;1.733;3;11;0.675;1.447;2.452;2.233;1.741;NOUN;NCMS000;3
dominó;5.52;1.798;2;9;-0.561;1.362;2.100;1.519;0.814;NOUN;NCMS000;3
don;6.24;2.654;1;10;-0.352;3.009;3.500;3.252;2.440;NOUN;NCMS000;1
donativo;7.96;2.070;3;11;0.384;0.301;1.176;1.000;0.255;NOUN;NCMS000;4
doncella;7.60;2.213;2;11;0.015;0.778;2.127;1.799;1.114;NOUN;NCFS000;3
donde;3.00;1.616;1;8;-1.376;3.445;4.372;3.618;2.969;PRONOUN;PR000000;2
dónde;4.36;1.816;1;9;-0.673;3.099;4.744;2.930;1.991;PRONOUN;PT000000;2
doña;6.02;2.199;1;11;0.032;2.616;2.662;2.711;1.788;NOUN;NCFS000;2
dorada;7.64;2.414;1;11;0.200;1.041;2.340;1.869;1.086;ADJECTIVE;AQ0FSP;3
dorado;6.30;2.150;2;11;-0.171;1.447;2.584;1.892;1.277;ADJECTIVE;AQ0MSP;3
dormido;3.50;1.502;1;8;-1.616;1.580;3.221;2.176;1.115;ADJECTIVE;AQ0MSP;3
dormir;2.36;1.509;1;7;-1.839;2.246;3.856;2.531;1.456;VERB;VMN0000;2
dormitorio;5.16;1.557;1;9;-0.613;1.342;2.954;2.243;0.984;NOUN;NCMS000;4
dos;2.24;1.098;1;6;-1.566;3.813;4.737;3.869;3.157;DETERMINER;DN0CP0;1
doscientas;5.98;1.407;3;10;0.005;2.270;1.748;1.556;0.725;DETERMINER;DN0FP0;3
doscientos;6.28;1.429;3;10;0.185;2.521;2.423;1.903;0.900;NOUN;NCMN000;3
doy;4.06;1.583;1;7;-0.873;2.354;3.590;2.083;1.422;VERB;VMIP1S0;1
drácula;5.76;2.227;2;11;-0.497;0.602;2.220;1.204;0.516;NOUN;NP00000;3
dragón;4.24;1.205;2;7;-1.337;0.699;2.812;1.322;1.198;NOUN;NCMS000;2
drama;8.88;1.757;5;11;0.904;1.568;2.736;2.146;1.428;NOUN;NCMS000;2
dramaturgo;10.12;1.335;6;11;0.996;0.699;1.431;1.079;0.997;NOUN;NCMS000;4
droga;8.74;1.925;4;11;0.750;2.723;3.285;2.322;1.278;NOUN;NCFS000;2
drogas;9.40;1.761;4;11;1.099;2.447;3.662;2.387;1.544;NOUN;NCFP000;2
ducha;3.44;1.580;1;8;-1.026;1.431;3.109;1.857;0.552;NOUN;NCFS000;2
duda;6.36;1.977;2;11;-0.054;2.760;3.479;2.671;2.229;NOUN;NCFS000;2
dudas;6.66;1.661;4;10;0.339;2.033;3.127;2.387;1.619;NOUN;NCFP000;2
duelo;9.02;2.162;4;11;0.690;1.447;2.509;1.944;1.260;NOUN;NCMS000;2
dueño;5.82;2.047;1;10;-0.644;1.756;3.248;2.356;1.567;NOUN;NCMS000;2
dulce;4.10;2.234;1;10;-1.120;1.763;3.627;2.338;1.626;ADJECTIVE;AQ0CS0;2
dulzura;7.02;2.360;2;11;-0.057;0.845;2.660;1.756;0.893;NOUN;NCFS000;3
dúo;8.10;1.982;4;11;0.605;1.255;2.107;1.255;1.101;NOUN;NCMS000;2
dúplex;9.30;1.729;5;11;0.674;0.301;1.531;0.477;0.444;NOUN;NCMN000;2
duque;8.00;2.176;3;11;0.290;1.301;2.461;1.914;1.782;NOUN;NCMS000;2
duquesa;8.32;1.974;5;11;0.308;1.114;2.111;1.322;1.038;NOUN;NCFS000;3
dura;4.96;2.157;1;9;-0.671;2.276;3.216;2.438;1.625;ADJECTIVE;AQ0FS0;2
durante;6.34;1.825;3;11;0.043;3.031;4.048;3.476;2.957;ADPOSITION;SPS00;3
dureza;7.10;2.140;2;11;-0.061;1.301;1.708;1.959;1.080;NOUN;NCFS000;3
duro;5.76;2.162;2;11;-0.310;2.439;3.737;2.554;1.617;ADJECTIVE;AQ0MS0;2
duros;4.94;2.411;1;11;-0.420;2.004;2.663;2.236;1.194;NOUN;NCMP000;2
ebriedad;10.36;1.425;6;11;1.339;;1.505;0.845;0.254;NOUN;NCFS000;3
echar;4.52;2.013;1;10;-1.204;2.241;3.134;2.318;1.335;VERB;VMN0000;2
echarse;4.78;1.920;1;10;-1.122;0.778;1.771;1.771;0.709;VERB;VMN0000;3
eco;5.44;1.752;1;11;-0.681;1.568;2.587;2.137;1.337;NOUN;NCMS000;2
economía;9.60;1.309;7;11;0.747;2.576;2.728;2.648;2.279;NOUN;NCFS000;5
económica;9.74;1.664;6;11;1.214;2.530;2.412;2.699;2.170;ADJECTIVE;AQ0FS0;5
económicas;9.48;1.515;6;11;1.656;2.045;1.857;2.188;1.783;ADJECTIVE;AQ0FP0;5
económico;8.84;1.833;4;11;0.906;2.444;2.301;2.479;2.073;ADJECTIVE;AQ0MS0;5
económicos;8.92;1.614;4;11;1.372;2.076;1.949;2.272;1.818;ADJECTIVE;AQ0MP0;5
edad;3.42;1.830;1;10;-1.426;2.751;3.673;2.938;2.268;NOUN;NCFS000;2
edén;9.88;1.612;5;11;1.169;1.362;2.210;1.146;0.588;NOUN;NP00000;2
edición;9.58;1.630;5;11;0.931;1.949;2.619;2.201;2.003;NOUN;NCFS000;3
edificio;4.42;1.642;1;8;-0.986;2.223;3.618;2.517;1.963;NOUN;NCMS000;4
educación;6.44;1.991;3;11;-0.287;2.468;3.087;2.542;2.214;NOUN;NCFS000;4
efe;5.20;2.755;1;11;-0.367;2.004;1.041;1.826;2.726;NOUN;NCFS000;2
efectivamente;8.62;1.689;5;11;1.214;2.910;2.324;2.352;1.567;ADVERB;RG;6
efectividad;8.74;2.098;1;11;0.470;1.204;1.732;1.580;1.010;NOUN;NCFS000;5
efectivo;8.70;2.013;5;11;0.405;1.380;3.245;1.763;1.338;NOUN;NCMS000;4
efecto;8.38;1.537;5;11;0.354;2.176;3.214;2.702;2.244;NOUN;NCMS000;3
efectos;7.70;1.529;4;11;0.768;2.173;2.975;2.721;2.017;NOUN;NCMP000;3
eficacia;8.98;2.503;3;11;0.515;1.740;1.613;2.423;1.593;NOUN;NCFS000;4
eficaz;9.14;1.830;4;11;0.978;1.869;2.093;2.367;1.687;ADJECTIVE;AQ0CS0;3
eficiencia;10.24;1.255;6;11;1.339;0.778;1.914;1.362;1.330;NOUN;NCFS000;4
egipto;8.56;1.704;3;11;0.771;1.114;2.544;1.799;1.677;NOUN;NP00000;3
egoísmo;7.18;2.182;2;11;0.033;0.903;1.973;1.756;0.934;NOUN;NCMS000;4
egoísta;5.58;2.129;2;11;-0.796;1.301;2.956;1.613;0.838;ADJECTIVE;AQ0CS0;4
ejecución;9.76;1.697;3;11;0.898;1.255;2.681;1.820;1.742;NOUN;NCFS000;4
ejecutivo;8.82;1.587;5;11;0.907;1.857;2.650;2.161;1.860;NOUN;NP00000;5
ejecutivos;9.16;1.695;4;11;0.692;1.000;2.305;1.771;0.944;NOUN;NCMP000;5
ejemplo;6.02;1.317;2;9;-0.416;3.451;3.448;2.686;2.549;ADVERB;RG;3
ejercicio;5.84;1.730;3;11;-0.613;2.152;2.983;2.520;1.952;NOUN;NCMS000;4
ejército;7.12;2.430;2;11;-0.050;2.318;3.552;2.675;2.277;NOUN;NCMS000;4
el;3.18;1.734;1;8;-1.458;4.858;5.851;5.145;4.497;DETERMINER;DA0MS0;1
él;2.96;1.749;1;10;-1.414;3.536;4.826;3.764;3.089;PRONOUN;PP3MS000;1
elaboración;8.88;1.810;4;11;0.564;1.255;1.176;1.959;1.612;NOUN;NCFS000;5
elección;7.62;1.947;4;11;0.113;1.813;3.317;2.301;1.809;NOUN;NCFS000;3
elecciones;9.48;1.657;6;11;1.032;2.576;2.884;2.737;2.237;NOUN;NCFP000;4
electoral;10.22;1.036;7;11;1.393;2.250;2.072;2.473;1.913;ADJECTIVE;AQ0CS0;4
eléctrica;7.12;1.976;3;11;0.012;1.301;2.740;2.188;1.539;ADJECTIVE;AQ0FS0;4
electricidad;7.22;1.753;2;11;-0.052;1.447;2.901;1.991;1.411;NOUN;NCFS000;5
electricista;7.29;1.389;2;11;0.271;1.146;1.771;1.041;0.256;NOUN;NCCS000;5
eléctrico;7.18;2.037;2;11;0.187;1.204;2.725;1.964;1.265;ADJECTIVE;AQ0MS0;4
electrodoméstico;7.28;2.204;1;11;0.314;1.000;1.114;0.477;0.075;NOUN;NCMS000;7
electrónico;8.44;1.831;5;11;0.649;1.279;2.589;1.949;1.484;ADJECTIVE;AQ0MS0;5
elefante;3.36;1.588;1;11;-1.089;1.146;2.627;1.623;0.911;NOUN;NCMS000;4
elegancia;8.60;1.852;4;11;0.542;1.531;2.253;1.875;0.926;NOUN;NCFS000;4
elegante;7.44;2.434;1;11;0.129;1.716;3.022;2.093;1.219;ADJECTIVE;AQ0CS0;4
elegido;6.24;1.933;3;11;0.151;2.149;2.932;2.286;1.839;VERB;VMP00SM;4
elegir;5.24;2.153;1;11;-0.423;2.114;3.219;2.288;1.566;VERB;VMN0000;3
elemental;9.28;1.896;4;11;0.940;1.279;1.799;1.914;0.987;ADJECTIVE;AQ0CS0;4
elemento;8.78;2.243;3;11;0.502;2.049;2.542;2.400;1.825;NOUN;NCMS000;4
elementos;7.66;1.533;5;11;0.743;2.215;2.598;2.692;2.107;NOUN;NCMP000;4
elena;4.00;2.010;1;9;-1.403;2.017;2.798;1.996;1.244;NOUN;NP00000;3
elevación;8.40;2.390;3;11;0.394;0.903;1.756;1.591;1.089;NOUN;NCFS000;4
ella;3.46;1.821;1;9;-1.146;3.340;4.876;3.740;2.769;PRONOUN;PP3FS000;2
ellas;3.96;1.690;1;8;-0.890;2.642;3.641;3.119;2.335;PRONOUN;PP3FP000;2
ello;6.68;2.360;2;11;0.343;2.720;3.720;3.248;2.581;PRONOUN;PP3NS000;2
ellos;3.98;1.635;1;7;-1.060;3.327;4.446;3.502;2.716;PRONOUN;PP3MP000;2
elocuencia;10.74;0.922;6;11;1.262;0.301;1.146;1.322;0.825;NOUN;NCFS000;4
elogio;9.40;1.874;3;11;0.729;1.079;1.799;1.633;0.889;NOUN;NCMS000;3
email;10.68;0.621;9;11;1.700;;2.739;;0.233;NOUN;NC00000;2
embajada;10.08;1.291;7;11;1.125;1.663;2.569;1.732;1.230;NOUN;NCFS000;4
embajador;10.08;1.192;7;11;0.971;1.544;2.670;2.017;1.436;NOUN;NCMS000;4
embarazo;6.04;1.979;2;11;-0.217;1.633;2.803;1.954;1.045;NOUN;NCMS000;4
embarazosa;9.34;1.768;6;11;0.961;0.602;1.591;0.699;0.242;ADJECTIVE;AQ0FS0;5
embargo;10.20;1.400;3;11;0.988;2.865;3.408;1.602;2.717;NOUN;NCMS000;3
eme;4.10;2.384;1;11;-0.882;2.167;;0.699;0.205;NOUN;NCFS000;2
emergencia;6.60;1.829;3;11;0.011;1.505;3.375;1.301;1.403;NOUN;NCFS000;4
emoción;8.06;2.208;1;11;0.244;1.944;2.888;2.330;1.348;NOUN;NCFS000;3
emocional;9.06;2.045;2;11;0.967;1.322;2.783;1.820;1.163;ADJECTIVE;AQ0CS0;4
empatía;10.31;0.819;1;11;1.502;;1.919;1.204;0.409;NOUN;NCFS000;4
empecé;5.26;1.639;2;10;-0.286;2.182;3.127;2.086;0.868;VERB;VMIS1S0;3
empeño;8.44;2.242;3;11;0.452;1.362;2.053;2.017;1.207;NOUN;NCMS000;3
emperador;7.78;1.982;3;11;0.185;1.580;2.857;1.982;1.836;NOUN;NCMS000;4
empezado;5.08;1.988;1;10;-0.328;2.225;2.775;2.215;1.254;VERB;VMP00SM;4
empezamos;5.22;1.682;3;11;-0.318;2.246;3.114;1.806;0.756;VERB;VMIP1P0;4
empezar;3.86;1.512;1;7;-0.905;2.601;3.755;2.483;1.656;VERB;VMN0000;3
empezó;5.32;1.984;2;11;-0.445;2.405;3.454;2.719;1.991;VERB;VMIS3S0;3
empieza;4.84;1.462;2;9;-0.499;2.574;3.434;2.574;1.632;VERB;VMIP3S0;3
empiezan;4.98;1.363;3;8;-0.472;2.130;2.713;2.111;1.168;VERB;VMIP3P0;3
empírica;10.86;0.405;9;11;1.409;0.301;1.146;1.380;0.655;ADJECTIVE;AQ0FS0;4
empleo;8.22;2.013;3;11;0.218;2.223;3.384;2.417;2.108;NOUN;NCMS000;3
empollón;7.28;1.773;3;11;0.092;0.778;1.146;;0.038;ADJECTIVE;AQ0MS0;3
empotrado;8.64;2.097;3;11;0.719;0.699;1.176;1.114;0.196;VERB;VMP00SM;4
empresa;8.96;1.772;4;11;0.567;2.589;3.259;2.813;2.218;NOUN;NCFS000;3
empresarial;9.80;1.457;6;11;0.965;1.380;1.820;1.806;1.334;ADJECTIVE;AQ0CS0;4
empresario;8.60;2.167;4;11;0.511;2.017;2.340;2.017;1.348;NOUN;NCMS000;4
empresarios;8.68;1.755;5;11;1.229;2.158;1.968;2.033;1.493;NOUN;NCMP000;4
empresas;8.32;2.123;4;11;1.085;2.362;2.748;2.624;2.302;NOUN;NCFP000;3
en;3.92;2.266;1;10;-1.480;4.854;5.812;5.066;4.484;ADPOSITION;SPS00;1
enamorado;7.62;2.531;3;11;0.444;1.708;3.240;2.083;1.198;ADJECTIVE;AQ0MSP;5
enamorar;7.36;2.345;3;11;-0.047;0.954;1.914;0.903;0.341;VERB;VMN0000;4
enanitos;4.26;1.925;1;9;-1.324;1.204;1.568;0.954;0.267;NOUN;NCMP000;4
encaje;8.28;2.313;2;11;0.294;1.230;2.146;1.653;0.843;NOUN;NCMS000;3
encanta;5.48;1.810;2;10;-0.217;2.375;3.756;1.732;0.777;VERB;VMIP3S0;3
encantado;6.82;2.007;3;11;0.399;2.009;3.208;1.708;0.921;ADJECTIVE;AQ0MSP;4
encantadora;6.84;2.298;2;11;-0.275;1.477;2.953;1.431;0.768;ADJECTIVE;AQ0FS0;5
encanto;7.36;2.248;1;11;0.102;1.531;2.884;2.013;1.030;NOUN;NCMS000;3
encargada;7.94;2.034;4;11;0.141;1.301;2.127;1.663;1.181;NOUN;NCFS000;4
encargo;7.68;1.743;3;11;0.239;1.301;3.057;1.934;1.192;NOUN;NCMS000;3
encender;4.90;2.188;2;10;-0.641;1.146;2.708;1.919;0.800;VERB;VMN0000;3
encerrado;5.24;2.056;2;11;-0.426;1.176;2.848;1.924;1.052;ADJECTIVE;AQ0MSP;4
enchufe;4.70;1.644;1;9;-0.865;0.903;1.806;1.000;0.165;NOUN;NCMS000;3
enciclopedia;7.68;1.801;3;11;0.213;1.176;1.778;1.380;0.967;NOUN;NP00000;5
encierro;7.76;2.479;3;11;0.138;0.954;2.097;1.613;0.753;NOUN;NCMS000;3
encima;5.50;2.279;2;11;-0.405;2.771;3.726;2.698;2.002;ADPOSITION;SPS00;3
encimera;7.64;2.414;2;11;0.016;0.477;0.954;;0.039;NOUN;NCFS000;4
encina;9.61;1.552;5;11;0.806;1.230;;0.954;0.753;NOUN;NCFS000;3
encontrado;5.54;1.705;2;9;-0.178;2.301;3.494;2.418;1.750;VERB;VMP00SM;4
encontramos;5.38;1.713;2;10;-0.254;2.164;3.548;2.201;1.641;VERB;VMIP1P0;4
encontrar;4.62;1.850;1;9;-0.657;2.459;3.974;2.755;2.123;VERB;VMN0000;3
encuentra;4.78;2.188;1;10;-0.452;2.465;3.495;2.827;2.422;VERB;VMIP3S0;3
encuentran;5.50;1.729;3;11;-0.186;2.143;2.958;2.582;2.096;VERB;VMIP3P0;3
encuentro;7.50;1.887;3;11;0.137;2.711;3.435;2.747;2.002;NOUN;NCMS000;3
encuesta;9.08;1.794;5;11;1.314;2.004;2.201;1.954;1.232;NOUN;NCFS000;3
ene;5.31;2.443;1;11;-0.339;2.281;1.041;0.301;1.913;NOUN;NCFS000;2
enemigo;6.34;2.291;2;11;-0.065;1.875;3.354;2.400;1.776;ADJECTIVE;AQ0MS0;4
enemistad;8.74;2.107;4;11;0.453;0.954;1.491;1.176;0.615;NOUN;NCFS000;4
energía;7.72;2.176;3;11;0.143;1.944;3.528;2.797;2.262;NOUN;NCFS000;4
enérgico;8.22;2.501;1;11;0.200;0.602;1.699;1.519;0.711;ADJECTIVE;AQ0MS0;4
enero;5.36;1.396;3;9;-0.437;2.137;2.720;2.149;2.325;DATE;W;3
enfadado;4.04;2.390;1;10;-1.394;1.462;2.723;1.176;0.567;VERB;VMP00SM;4
enfado;4.40;1.906;1;10;-1.005;1.322;1.732;1.279;0.582;NOUN;NCMS000;3
enfermedad;4.88;1.955;1;9;-0.883;2.439;3.373;2.795;1.880;NOUN;NCFS000;4
enfermedades;6.70;2.206;2;11;0.362;2.057;2.783;2.456;1.686;NOUN;NCFP000;5
enfermera;6.00;1.979;1;10;-0.286;1.505;3.174;1.886;0.811;NOUN;NCFS000;4
enfermero;5.62;1.602;2;9;-0.815;0.903;2.286;0.903;0.371;NOUN;NCMS000;4
enfermo;3.84;1.517;2;8;-1.245;2.398;3.464;2.452;1.472;NOUN;NCMS000;3
enfermos;5.48;1.832;2;10;-0.392;2.188;2.731;2.471;1.345;NOUN;NCMP000;3
enfrentamiento;8.68;1.911;4;11;0.794;1.653;2.121;2.057;1.345;NOUN;NCMS000;5
enfurecido;6.82;2.247;1;11;-0.323;;1.623;1.041;0.569;ADJECTIVE;AQ0MSP;5
engaño;6.66;2.182;2;11;0.002;1.041;2.794;1.845;1.104;NOUN;NCMS000;3
engañosa;7.52;2.323;3;11;0.110;0.778;1.756;1.431;0.532;ADJECTIVE;AQ0FS0;4
engordar;7.40;2.433;2;11;0.296;1.079;1.857;1.342;0.258;VERB;VMN0000;3
engreído;8.76;2.134;4;11;0.409;;2.158;0.778;0.196;ADJECTIVE;AQ0MS0;4
enhorabuena;7.30;2.410;1;11;0.128;2.146;2.248;1.342;0.668;NOUN;NCFS000;5
enigma;9.92;1.614;4;11;0.907;0.845;2.114;1.763;0.876;NOUN;NCMS000;3
enjuiciar;10.60;1.010;6;11;1.289;0.699;1.415;1.041;0.363;VERB;VMN0000;3
enlace;8.84;1.462;6;11;0.551;1.041;2.601;1.531;1.434;NOUN;NCMS000;3
enmienda;10.50;1.111;6;11;1.180;1.176;2.348;1.519;1.861;NOUN;NCFS000;3
enojo;8.38;2.381;2;11;0.481;0.602;2.548;1.380;0.822;NOUN;NCMS000;3
enorme;4.92;1.998;1;10;-0.648;2.371;3.375;2.708;1.881;ADJECTIVE;AQ0CS0;3
enredo;8.46;2.261;3;11;0.396;0.954;1.792;1.204;0.410;NOUN;NCMS000;3
ensalada;4.62;1.665;1;8;-0.925;1.114;2.981;1.398;0.558;NOUN;NCFS000;4
ensaladilla;5.48;1.515;2;8;-0.480;;;0.602;0.043;NOUN;NCFS000;5
ensayo;7.60;2.416;3;11;0.171;1.799;2.995;2.100;1.430;NOUN;NCMS000;3
enseguida;5.64;1.849;1;10;-0.105;2.072;3.564;2.233;1.238;ADVERB;RG;4
enseñanza;6.40;2.148;3;11;-0.333;2.312;2.068;2.193;1.747;NOUN;NCFS000;4
enseñar;4.30;1.705;1;10;-1.034;1.934;2.863;1.914;1.187;VERB;VMN0000;3
ensueño;9.38;1.989;3;11;0.703;0.477;2.025;1.415;0.762;NOUN;NCMS000;3
ente;10.48;0.995;6;11;1.097;1.176;1.857;1.672;1.135;NOUN;NCMS000;2
entender;5.70;1.741;3;10;-0.327;2.215;3.523;2.634;1.839;VERB;VMN0000;3
entendido;6.04;2.109;3;11;-0.104;2.253;3.648;2.127;1.294;VERB;VMP00SM;4
entendimiento;9.00;1.841;5;11;0.701;1.556;2.223;2.000;1.401;NOUN;NCMS000;5
entera;5.92;2.127;2;10;-0.157;2.025;3.156;2.299;1.392;ADJECTIVE;AQ0FS0;3
entereza;9.94;1.570;5;11;1.379;0.301;1.230;1.568;0.537;NOUN;NCFS000;4
entero;5.98;2.199;1;11;-0.224;2.111;3.170;2.362;1.484;ADJECTIVE;AQ0MS0;3
entidad;10.22;1.360;6;11;1.185;1.708;2.033;2.079;1.681;NOUN;NCFS000;3
