Appendix F. Spanish base and complex words semantically transparent;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;;Semantic;Complex word;;;;;;;;Semantic
Base word;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Semantically;AoA;Imag;Fr;L;P;S;N;distance;Semantically;AoA;Imag;Fr;L;P;S;N;distance
;;;;;;;;Inf.;Sem.R;Transparent;;;;;;;;;Opaque;;;;;;;;
diente (tooth);1.6;7.9;2.6;6;6;2;2;28;28;dentista (dentist);3;6.6;2.8;8;8;3;2;7.4;dentículo (dentil);6.7;1;0;9;9;4;0;3.8
disponer (to arrange);5.1;4.3;1.7;8;8;3;1;40;9;disponible (available);4.3;4.3;3.1;10;10;4;0;7.5;dispositivo (device0;5;4.7;3.1;11;11;5;1;3.9
dividir (to divide);3.9;5.8;2.2;7;7;3;1;12;12;división (division);3.3;5.4;2.9;8;8;3;1;7.4;divisa (foreign currency);6.1;3.1;1.3;6;6;3;3;4
doblar (to double);2.5;7;2.4;6;6;2;3;24;9;dobladillo (hem);5.3;5.4;1.6;10;9;4;1;6.1;doblegar (to break);6.2;2.9;1.5;8;8;3;0;4.4
dócil (docile);5.7;5.1;1.7;5;5;2;1;4;4;docilidad (obedience);6.3;3.6;0;9;9;4;0;6.8;docencia (teaching);5.4;4.3;1.2;8;8;3;2;2.9
doctor (doctor);2.5;7.7;3.9;6;6;2;1;8;4;doctorado (doctorate);6.5;4.3;2.3;9;9;4;1;6.7;docente (teacher);5.3;6;1.7;7;7;3;3;4.4
domesticar (to tame);4.7;5.2;1.1;10;10;4;0;11;4;doméstico (domestic0;4.3;4.9;2;9;9;4;1;6.8;domicilio (address);3.8;5.9;2.5;9;9;4;0;3.4
donar (to donate);4.7;6;2.3;5;5;2;8;18;11;donativo (donation);4.5;5.6;1.2;8;8;4;1;7.4;donaire (grace);6.4;1.3;0;7;7;3;0;2.4
ejemplo (example);3.2;5.2;3.4;7;7;3;0;13;8;ejemplificar (to exemplify);5.5;4.1;0.5;12;12;5;0;7.4;ejemplar (exemplar);4.5;4.1;2.3;8;8;3;0;6.4
espada (sword);2.3;7.9;3.1;6;6;3;4;33;13;espadachin (swordsman);5.5;5.1;0;10;9;4;0;7;espadaña (bulrush);6.4;1.6;0;8;8;4;1;2.7
especie (species);4.1;5.5;3.5;7;7;3;1;22;11;especimen (specimen);6.1;4.1;0;9;7;4;0;6.1;especia (spice);4.8;6.3;1.7;7;7;3;1;3.7
espectro (spectrum);5.8;4.4;2.3;8;8;3;0;1;1;espectral (spectral);6.5;3.7;1.4;9;9;3;0;6.6;especular (to speculate);5.4;3.6;1.8;9;9;4;0;3
esperar (to wait);2.4;5.3;3.9;7;7;3;7;11;11;espera (wait);2.8;4.3;4.4;6;6;3;6;7.4;esperanza (hope);4;3.2;3.4;9;9;4;0;5.3
estado (state);4.4;4.8;4.4;6;6;3;6;34;12;estatal (state);5.8;3.4;3;7;7;3;1;6.6;estadista (statesman);6.3;3.6;1.1;9;9;4;2;4.2
estar (to be);2.3;5;4.6;5;5;2;3;10;10;estamento (stratum);6.4;2.9;0.3;9;9;4;0;3.2;estanteria (shelve);2.7;6.7;1.6;10;10;5;0;2.7
estrecho (narrow);3.3;7;2.1;8;7;3;1;10;10;estrechez (narrowness);5.6;5.2;1.1;9;8;3;0;6.7;estricto (strict);4;3.8;2.2;8;8;3;2;3.7
estupor (astonishment);6.3;3.5;1.3;7;7;3;1;4;1;estupefacto (astonished);6.3;4.6;1.4;11;11;5;1;4.6;estupendo (fantastic);3;3.4;3.5;9;9;4;1;2.9
facilidad (facility);3.9;4.8;2.3;9;9;4;0;8;8;facilitar (to facilitate);4.5;4;2;9;9;4;0;7.2;facultad (faculty);5.5;6.4;2.8;8;8;3;1;3.5
fantasía (fnatasy);3.7;5.5;2.9;8;8;4;1;3;3;fantasioso (imaginative);4.7;4.7;1.1;10;10;4;2;7.4;fantasma (ghost);2.4;6.3;3.2;8;8;3;1;4.1
fertil (fertile);5.6;5.3;1.9;6;6;2;0;3;3;fertilidad (fertility);5.8;4.5;2.1;10;10;4;0;7.7;fertilizante (fertilizer0;5;5.7;2;12;12;5;0;6.6
firme (firm);4.5;6;3.1;5;5;2;2;15;15;firmeza (firmness);5.4;4.8;1.9;7;7;3;0;7.5;firma (signature);3.3;6.8;3.1;5;5;2;3;3.3
flato (stitch);5.6;4.1;0;5;5;2;4;6;6;flatulencia (flatulence);6.3;3.9;1.4;11;11;4;0;3.4;flauta (recorder);2.7;6.9;2.2;6;6;2;0;2.5
flor (flower);1.5;8;2.8;4;4;1;1;29;29;florido (flowery);4.6;5.6;0.8;7;7;3;1;7.4;florete (floret);5.3;3.8;0.5;7;7;3;1;3.2
foro (forum);5.6;5.9;2.2;4;4;2;17;4;4;forofo (fan);6.1;5.1;0;6;6;3;0;3.6;forense (forensic);5.7;6.1;2.9;7;7;3;1;2.4
fuga (escape);5.3;6.3;2.7;4;4;2;5;11;11;fugitivo (fugitive);5.4;5.9;2.5;8;8;4;1;7.1;fogoso (spirited);6;4.8;1.2;6;6;3;2;3
fumar (to smoke);3.4;7.4;3.2;5;5;2;7;21;10;fumador (smoker0;3.3;6.8;2.1;7;7;3;1;7.9;fumigar (to fumigate);5.3;5.6;1.3;7;7;3;1;3.1
género (gender);4.7;5.9;2.3;6;6;3;0;4;4;genérico (generic);5.8;3.9;1.4;8;8;4;3;5.3;genuino (genuine);6;3.1;2.1;7;7;3;1;3.1
gentil (gentle);5.4;5.2;2.5;6;6;2;0;7;7;gentileza (courtesy);5.8;4;2;9;9;4;0;6.6;gente (people);2.4;6.6;4.6;5;5;2;6;5.6
germen (germ);5.5;5.8;1.6;6;6;2;1;2;2;germinal (germinal);6.3;2.7;0;8;8;3;2;4.9;germanía (thieves' slang);6.2;1.5;0;8;8;4;1;2.3
factura (invoice);4.9;7.1;2.5;7;7;3;4;32;5;facturar (to invoice);5.4;5.2;0.8;8;8;3;0;6.9;factible (feasible);6.1;3.1;1.8;8;8;3;0;3.2
hoja (sheet);2.2;7.8;2.7;4;3;2;11;18;18;hojalata (tinplate);5.1;5.5;1.9;8;7;4;0;3.5;hojaldre (pastry);4.7;6.3;1.2;8;7;3;1;3.7
hortaliza (vegetable);4.1;6.9;0;9;8;4;1;3;1;hortelano (horticulturist);5.5;4.4;0;9;8;4;2;3.6;hortensia (hydrangea);5.4;5.4;1.2;9;8;3;0;2.6
hospedar (to host);5.7;5.3;1;8;7;3;1;19;7;hospedaje (accommodation);5.8;4.9;1.6;9;8;4;0;7.1;hospital (hospital);2.6;6.9;3.8;8;7;3;0;4.2
humilde (humble);5;5.3;2.6;7;6;3;0;9;3;humildad (humility);4.6;4;2.1;8;7;3;0;7.6;humano (human);2.9;6.7;3.5;6;5;3;5;4.2
humor (humor);4.2;5.5;3.3;5;4;2;3;7;7;humorista (humorist);4.4;6;1.5;9;8;4;0;7.6;humedad (humidity);3.5;5.6;2.3;7;6;3;3;2.2
importar ( to import);4.6;5;3;8;8;3;1;26;7;importación (importing);5.8;4.5;1.6;11;11;4;1;7.4;importancia (importance);3.4;3.1;3.1;11;11;4;0;6.5
ingenio (wit);5.5;4.3;2.2;7;7;3;2;9;9;ingenioso (wittiness);5.1;4.4;2.4;9;9;4;1;7.3;ingeniero (engineer);5.7;5.8;2.7;9;9;4;1;3.8
interrogar (to question);4.9;5.5;2.3;10;9;4;0;6;6;interrogatorio (questioning);5.1;5.8;2.6;14;13;6;0;7.5;interrogante (question mark);4.1;5.7;1.5;12;11;5;0;7.3
invierno (winter0;2.7;7.3;3;8;8;3;1;22;13;invernal (wintry);5;5.7;1.5;8;8;3;2;7.4;invernadero (greenhouse);4;6.4;2;11;11;5;1;3.2
jugar (to play);1.3;7;3.9;5;5;2;5;7;7;jugador (player);2.9;6.2;3.1;7;7;3;1;7.4;jugarreta (dirty trick);4.7;4.2;1.6;9;8;4;0;5.8
