Spanish;Translation (British English);Semantic category;Domain;AoA;AoA_SD;Fam;Fam_SD;Man;Man_SD;Tip;Tip_SD;%_Total_36;LF_Log;LF_EsPal;LF_CREA;LF_Cuetos et al. (2012);Word_length;Syllabes;Subjects (n)
Águila              ;Eagle;Animals;Living Things;3.19;1.35;3.47;1.13;2.23;1.52;4.06;1.15;0.03;14.58;3.83;888;2.27;6;3;38
Almeja              ;Clam;Animals;Living Things;4.27;1.14;3.68;0.93;2.79;1.35;2.45;1.38;0.03;11.96;2.43;71;1.94;6;3;38
Ardilla             ;Squirrel;Animals;Living Things;3.20;1.03;3.18;1.10;1.26;0.56;3.90;1.05;0.11;13.22;2.86;128;2.5;7;3;38
Asno                ;Donkey;Animals;Living Things;3.47;1.45;3.19;1.32;1.76;1.08;4.07;0.74;0.08;11.84;3.1;257;2.03;4;2;38
Babuino             ;Baboon;Animals;Living Things;5.63;2.20;1.82;1.31;1.18;0.65;2.16;1.40;0.06;9.49;1.88;12;1.15;7;3;36
Ballena             ;Whale;Animals;Living Things;2.76;0.83;3.32;1.53;1.18;0.84;4.02;0.89;0.03;13.84;3.17;463;2.43;7;3;38
Besugo              ;Sea ??bream;Animals;Living Things;4.44;1.54;3.10;1.36;2.33;1.34;3.05;1.30;0.03;11.36;1.96;139;0.9;6;3;38
Bonito              ;Tuna / Bonito;Animals;Living Things;4.32;1.62;3.21;1.33;2.16;1.42;2.58;1.20;0.03;14.80;3.54;3429;3.59;6;3;38
Borrico             ;Donkey;Animals;Living Things;3.41;1.26;2.92;1.25;1.58;0.96;3.55;1.42;0.03;10.80;2.19;58;0;7;3;38
Buey                ;Ox;Animals;Living Things;3.60;1.33;3.25;1.21;1.55;1.11;3.71;1.03;0.14;13.59;3.45;639;1.91;4;1;38
Búfalo              ;Buffalo;Animals;Living Things;4.46;1.24;2.27;1.11;1.24;0.86;3.42;1.29;0.03;14.79;2.58;126;2.21;6;3;38
Buitre              ;Vulture;Animals;Living Things;4.27;1.39;3.26;1.05;1.26;0.53;3.57;1.10;0.03;11.86;3.18;185;1.7;6;2;38
Burra               ;She-donkey;Animals;Living Things;2.95;0.98;3.54;1.10;1.76;0.90;3.65;1.00;0.03;11.66;2.9;205;1.66;5;2;38
Burro               ;Donkey;Animals;Living Things;2.24;0.94;3.86;1.38;2.00;0.94;4.29;0.83;0.50;13.69;3.56;962;2.6;5;2;38
Caballo             ;Horse;Animals;Living Things;2.23;1.13;4.23;1.04;2.66;1.28;4.82;0.44;0.56;15.17;4.4;7990;3.41;7;3;38
Cabra               ;Goat;Animals;Living Things;3.03;1.22;3.23;1.26;1.95;1.17;4.22;0.98;0.31;14.43;3.45;772;2.62;5;2;38
Cabrito             ;Kid;Animals;Living Things;4.09;1.41;3.01;1.23;1.87;1.22;3.47;1.13;0.03;12.03;2.52;219;0.95;7;3;38
Canario             ;Canary;Animals;Living Things;3.00;1.33;3.74;1.13;2.48;1.74;4.00;1.04;0.03;14.46;3.38;1171;1.87;7;3;38
Canguro             ;Kangaroo;Animals;Living Things;3.15;1.33;3.12;1.10;2.10;1.48;3.63;1.25;0.03;13.88;2.48;160;2.06;7;3;38
Cebra               ;Zebra;Animals;Living Things;3.23;1.26;3.42;1.07;1.24;0.53;3.90;1.05;0.03;12.94;2.59;102;1.88;5;2;38
Cerdo               ;Pork / Pig;Animals;Living Things;2.17;0.76;3.82;1.03;2.00;1.34;4.73;0.44;0.39;14.25;3.67;2463;3.22;5;2;38
Chimpancé           ;Chimpanzee;Animals;Living Things;3.60;1.24;3.39;0.95;1.27;0.74;4.20;0.69;0.03;9.75;2.61;333;1.88;9;3;38
Chirla              ;Baby clam;Animals;Living Things;5.13;1.70;2.97;1.42;2.55;1.39;2.09;1.31;0.03;10.24;1.08;6;0;6;2;37
Ciervo              ;Deer;Animals;Living Things;3.33;1.05;3.53;0.99;1.29;0.73;4.32;0.97;0.03;13.00;3.06;409;2.45;6;2;38
Cigüeña             ;Stork;Animals;Living Things;2.82;1.04;3.50;1.28;1.16;0.50;3.88;0.99;0.06;12.85;3.15;138;1.51;7;3;38
Cochinillo          ;Piglet;Animals;Living Things;3.93;1.43;3.49;1.37;2.96;1.63;3.58;1.13;0.03;12.38;1.93;66;0.85;10;4;38
Cocodrilo           ;Crocodile;Animals;Living Things;2.61;1.19;3.26;1.10;2.19;1.58;4.02;1.08;0.11;13.34;2.89;302;2.14;9;4;38
Codorniz            ;Quail;Animals;Living Things;4.66;1.64;3.11;1.28;2.50;1.53;3.36;1.20;0.08;12.33;2.46;157;1.7;8;3;38
Comadreja           ;Weasel;Animals;Living Things;4.89;1.23;2.23;1.17;1.48;1.04;2.79;1.20;0.03;10.53;3.38;62;2.06;9;4;38
Conejo              ;Rabbit;Animals;Living Things;2.26;1.11;4.27;0.83;2.13;1.30;4.55;0.50;0.36;14.40;3.42;1017;2.96;6;3;38
Cordero             ;Lamb;Animals;Living Things;3.06;1.39;3.82;1.12;1.90;1.02;4.13;0.94;0.17;14.03;3.63;1137;2.6;7;3;38
Coyote              ;Coyote;Animals;Living Things;4.06;1.58;2.36;1.43;1.15;0.52;3.17;1.45;0.03;13.25;2.9;140;2.27;6;3;37
Culebra             ;Snake;Animals;Living Things;3.10;1.16;3.12;1.30;1.32;0.63;3.40;0.96;0.03;12.24;2.91;360;1.51;7;3;38
Diplodoco           ;Diplodocus;Animals;Living Things;4.48;2.85;1.38;1.40;0.84;0.57;1.70;1.34;0.03;6.33;1.34;4;0;9;4;31
Elefante            ;Elephant;Animals;Living Things;2.22;0.67;3.84;1.34;1.33;0.69;4.49;0.63;0.31;14.06;3.34;785;2.63;8;4;38
Foca                ;Seal;Animals;Living Things;2.76;1.04;3.40;1.26;2.53;1.77;4.12;1.03;0.06;12.32;2.81;125;2.02;4;2;38
Gallina             ;Hen;Animals;Living Things;2.13;1.02;3.90;1.13;2.90;1.81;4.46;0.88;0.36;13.88;3.63;1564;2.78;7;3;38
Gamba               ;Shrimp;Animals;Living Things;3.48;1.07;4.17;0.71;3.22;1.45;2.61;1.20;0.03;12.14;2.51;85;1.68;5;2;38
Gato             ;Cat;Animals;Living Things;1.62;0.50;4.63;0.67;2.33;1.23;5.00;0.00;0.69;9.77;4.07;3556;3.35;4;2;38
Golondrina          ;Swallow;Animals;Living Things;3.72;1.49;3.55;1.14;2.18;1.67;3.70;1.14;0.08;11.42;2.84;167;1.26;10;4;38
Gorrión             ;Sparrow;Animals;Living Things;3.42;1.37;3.65;1.14;1.35;0.68;3.85;0.97;0.03;9.79;3.21;141;1.57;7;2;38
Guanaco             ;Guanaco;Animals;Living Things;4.45;3.44;1.18;1.12;0.73;0.63;1.16;0.97;0.03;10.66;2.33;34;0;7;3;25
Hámster             ;Hamster;Animals;Living Things;3.84;1.23;3.27;1.32;2.09;1.22;3.73;0.80;0.03;13.35;1.92;24;2.11;6;2;38
Hiena               ;Hyena;Animals;Living Things;4.38;1.26;2.63;1.24;1.76;1.37;3.19;0.98;0.03;11.10;2.43;120;1.46;5;2;38
Hipopótamo          ;Hippopotamus;Animals;Living Things;3.28;0.89;3.42;0.99;1.24;0.59;4.10;0.92;0.06;11.80;2.2;100;1.58;10;5;38
Hurón               ;Ferret;Animals;Living Things;5.50;1.39;2.42;1.06;1.62;1.24;2.96;1.25;0.03;8.51;3.53;67;1.91;5;2;38
Jabalí              ;Wild boar;Animals;Living Things;3.51;1.13;3.07;1.26;1.39;0.69;3.66;1.05;0.11;9.99;3.1;322;1.98;6;3;38
Jirafa              ;Giraffe;Animals;Living Things;2.61;1.16;3.11;1.34;2.11;1.73;4.40;0.84;0.03;12.95;2.31;73;1.92;6;3;38
Lagartija           ;Wall lizard;Animals;Living Things;2.84;0.96;3.40;1.34;1.50;0.72;3.57;1.17;0.03;11.35;2.66;216;1.85;9;4;38
Lagarto             ;Lizard;Animals;Living Things;3.24;1.12;3.42;1.03;1.32;0.63;3.76;1.17;0.11;12.69;3.24;310;2.12;7;3;38
León                ;Lion;Animals;Living Things;2.03;0.84;3.51;1.14;2.29;1.71;4.89;0.45;0.31;13.80;4.5;1160;2.87;4;2;38
Liebre              ;Hare;Animals;Living Things;3.47;1.29;3.47;1.17;2.44;1.64;3.86;1.09;0.28;12.86;3.09;572;2.15;6;2;38
Lince               ;Lynx;Animals;Living Things;4.59;1.31;2.82;1.12;1.14;0.48;3.70;1.12;0.03;13.15;2.83;226;1.54;5;2;38
Llama               ;Llama;Animals;Living Things;4.98;1.46;2.52;1.50;1.41;0.84;2.55;1.40;0.03;15.50;4.45;16656;4.04;5;2;38
Lobo                ;Wolf;Animals;Living Things;2.66;1.33;3.39;1.10;2.35;1.55;4.41;0.84;0.14;14.67;3.75;1326;3;4;2;38
Loro                ;Parrot;Animals;Living Things;2.95;0.98;3.56;1.28;2.50;1.74;3.83;1.33;0.03;13.68;3.34;472;2.23;4;2;38
Macho               ;Male mule;Animals;Living Things;3.23;1.60;3.50;1.59;1.46;0.90;2.49;1.50;0.06;14.00;3.52;1917;2.73;5;2;38
Marta               ;Pine marten;Animals;Living Things;4.55;2.90;1.35;1.06;1.02;0.57;1.39;1.19;0.03;15.38;3.69;38;2.49;5;2;30
Mejillón            ;Mussel;Animals;Living Things;4.31;1.62;3.78;0.98;2.82;1.27;2.61;1.32;0.03;11.66;2.08;76;0;8;3;38
Merluza             ;Hake;Animals;Living Things;3.87;1.39;4.02;1.07;3.21;1.61;3.32;1.38;0.03;13.39;2.7;456;1.08;7;3;38
Mono                ;Monkey;Animals;Living Things;2.56;0.92;3.47;1.32;1.60;1.04;4.37;0.77;0.08;14.57;3.77;1560;3.14;4;2;38
Mula                ;Mule;Animals;Living Things;3.15;1.16;3.01;1.30;1.79;1.23;3.82;1.27;0.28;13.77;3.36;656;2.28;4;2;38
Nutria              ;Otter;Animals;Living Things;4.83;1.31;2.63;0.94;1.22;0.61;3.46;1.09;0.03;11.43;3.46;90;0.48;6;2;38
Okapi               ;Okapi;Animals;Living Things;4.05;3.48;0.83;0.69;0.72;0.80;0.79;0.74;0.03;10.43;1.34;6;0;5;3;21
Orangután           ;Orang-utan;Animals;Living Things;3.73;1.04;2.83;1.12;1.85;1.35;3.78;1.02;0.06;11.52;2.02;85;0.6;9;4;38
Oso                 ;Bear;Animals;Living Things;2.44;1.03;3.49;1.16;1.32;0.84;4.77;0.44;0.08;14.50;3.62;917;0.7;3;2;38
Oveja               ;Sheep;Animals;Living Things;2.06;0.92;3.80;1.14;1.99;1.31;4.50;0.69;0.42;13.60;3.81;739;2.41;5;3;38
Pájaro              ;Bird;Animals;Living Things;1.68;0.63;4.55;0.88;1.40;0.74;4.68;0.36;0.03;14.15;3.74;2074;2.85;6;3;38
Paloma              ;Dove;Animals;Living Things;2.63;1.27;4.24;0.99;1.49;0.98;4.34;0.94;0.08;14.68;3.6;836;1.41;6;3;38
Pantera             ;Panther;Animals;Living Things;3.89;1.20;2.69;1.31;1.13;0.48;3.82;1.17;0.14;13.43;3.03;273;1.84;7;3;38
Pato                ;Duck;Animals;Living Things;2.08;0.60;4.18;1.09;1.62;1.03;4.28;0.72;0.14;14.20;3.65;713;0.48;4;2;38
Pavo                ;Turkey;Animals;Living Things;3.32;1.20;3.50;1.32;1.99;1.20;3.61;1.22;0.11;13.78;3.64;653;0.6;4;2;38
Pavo real           ;Peacock;Animals;Living Things;3.45;1.26;3.08;1.27;1.58;0.99;3.46;1.12;0.03;12.28;0;145;0;9;4;38
Perdiz              ;Partridge;Animals;Living Things;4.19;1.54;3.32;1.14;1.66;1.22;3.53;1.00;0.11;13.12;3.61;455;3.96;6;2;38
Perezoso            ;Sloth  ;Animals;Living Things;5.48;1.59;2.14;1.38;1.26;0.60;2.18;1.00;0.03;11.60;2.92;281;1.66;8;4;38
Perro               ;Dog;Animals;Living Things;1.59;0.76;4.90;0.27;2.38;1.50;4.97;0.19;0.72;15.35;4.33;6489;3.4;5;2;38
Pescadilla          ;Whiting;Animals;Living Things;4.68;1.45;3.73;1.16;2.97;1.37;3.13;1.36;0.03;11.03;1.95;116;1.23;10;4;38
Pez emperador       ;Swordfish;Animals;Living Things;5.63;1.27;2.95;1.12;2.19;1.45;2.66;1.32;0.03;11.48;0;1;0;12;5;38
Pollo               ;Chicken;Animals;Living Things;2.12;0.50;4.45;0.92;2.91;1.42;4.35;0.87;0.14;14.52;3.48;2605;2.36;5;2;38
Raposo              ;Fox;Animals;Living Things;4.42;3.00;1.11;1.24;1.13;1.05;1.39;1.31;0.06;10.96;1.94;10;0;6;3;30
Rata                ;Rat;Animals;Living Things;2.69;1.39;2.99;1.33;1.96;1.61;4.06;1.26;0.08;13.47;3.24;735;2.97;4;2;38
Ratón               ;Mouse;Animals;Living Things;2.31;0.95;3.69;1.22;2.36;1.62;4.39;0.98;0.17;15.08;3.42;1577;1.23;5;2;38
Rinoceronte         ;Rhinoceros;Animals;Living Things;3.51;1.13;3.14;1.44;1.12;0.31;3.85;1.14;0.06;11.43;2.68;121;1.3;11;5;38
Serpiente           ;Snake;Animals;Living Things;2.61;1.18;3.19;1.20;2.13;1.64;3.85;1.23;0.06;13.96;3.6;1412;2.56;9;3;38
Tejón               ;Badger;Animals;Living Things;5.20;1.51;2.00;1.04;1.44;1.22;2.46;1.23;0.03;14.33;2.37;16;1.15;5;2;36
Ternera             ;Calf;Animals;Living Things;3.82;1.66;3.69;1.16;2.82;1.59;3.30;1.32;0.08;13.58;3.06;565;0.48;7;3;38
Tigre               ;Tiger;Animals;Living Things;2.57;0.83;3.53;1.26;1.18;0.80;4.52;0.62;0.22;14.36;3.91;937;2.25;5;2;38
Topo                ;Mole;Animals;Living Things;4.20;1.46;2.91;1.17;1.19;0.59;3.20;1.07;0.06;13.57;2.84;162;1.78;4;2;38
Toro                ;Bull;Animals;Living Things;2.86;1.21;3.53;0.98;1.52;0.99;4.32;0.86;0.08;15.06;3.98;5725;1.49;4;2;38
Tortuga             ;Tortoise;Animals;Living Things;2.42;0.92;3.55;1.17;2.10;1.60;3.93;1.17;0.03;14.07;3.24;688;2.27;7;3;38
Urraca              ;Magpie;Animals;Living Things;4.83;1.34;2.94;1.28;1.34;0.69;3.07;1.15;0.03;11.40;3.42;66;0.78;6;3;38
Vaca                ;Cow;Animals;Living Things;2.22;1.36;3.89;1.27;1.90;1.17;4.82;0.48;0.56;14.43;3.65;1947;1.57;4;2;38
Venado              ;Deer;Animals;Living Things;5.53;1.30;2.75;0.78;1.56;1.10;3.14;1.17;0.03;12.30;3.17;402;1.51;6;3;38
Yegua               ;Mare;Animals;Living Things;3.68;1.23;3.30;1.34;2.56;1.68;3.88;1.09;0.06;12.45;2.95;499;1.46;5;2;38
Abdominal           ;Abdominal;Body Parts;Living Things;4.89;1.45;3.84;1.26;1.50;1.16;3.02;1.48;0.03;13.55;2.78;953;2.02;10;4;38
Antebrazo           ;Forearm;Body Parts;Living Things;4.32;1.32;3.82;1.17;1.99;1.05;3.74;1.25;0.06;11.74;2.65;551;1.52;9;4;38
Asadura             ;Offal;Body Parts;Living Things;3.94;3.17;1.29;1.32;0.97;1.22;1.20;1.20;0.11;10.10;1.57;23;0;7;4;27
Astrágalo           ;Astragalus;Body Parts;Living Things;3.99;3.42;1.34;1.33;0.89;1.19;1.19;1.03;0.03;10.86;1.73;49;0;9;4;23
Barbilla            ;Chin;Body Parts;Living Things;2.74;1.44;4.19;0.98;2.82;1.72;3.91;1.02;0.03;11.60;2.97;783;2.2;8;3;38
Boca                ;Mouth;Body Parts;Living Things;1.76;0.99;4.89;0.19;2.38;1.42;4.71;0.42;0.31;15.17;4.42;17627;3.76;4;2;38
Brazo               ;Arm;Body Parts;Living Things;1.78;1.28;4.69;0.82;3.65;1.19;4.82;0.70;0.69;13.97;4.18;9784;3.37;5;2;38
Cabellera           ;Head of hair;Body Parts;Living Things;4.23;1.54;3.43;1.22;2.66;1.28;2.56;1.16;0.03;11.46;3.14;805;1.73;9;4;38
Cabeza              ;Head;Body Parts;Living Things;1.66;0.81;4.97;0.19;2.11;1.25;4.90;0.38;0.72;15.29;4.83;39460;4.17;6;3;38
Cadera              ;Hip;Body Parts;Living Things;4.16;1.43;4.14;1.14;1.82;1.27;3.66;0.90;0.03;13.48;2.96;1017;2.42;6;3;38
Calcáneo            ;Calcaneus;Body Parts;Living Things;4.85;3.37;1.43;1.50;1.00;1.33;1.11;1.24;0.03;10.71;1.54;62;0;8;3;28
Cara                ;Face;Body Parts;Living Things;1.56;0.58;4.92;0.32;2.24;1.40;4.68;0.72;0.11;15.67;4.58;28008;4;4;2;38
Carpo               ;Carpus;Body Parts;Living Things;4.74;2.81;1.50;1.37;1.27;1.39;1.52;1.51;0.03;11.08;1.9;58;0;5;2;32
Caspa               ;Dandruff;Body Parts;Living Things;4.99;1.55;2.89;1.32;2.24;1.47;1.44;0.62;0.03;12.80;2.14;122;1.46;5;2;38
Ceja                ;Eyebrow;Body Parts;Living Things;2.91;1.28;4.28;0.69;1.74;1.22;3.73;1.14;0.03;12.04;2.92;537;1.81;4;2;38
Cerebro             ;Brain;Body Parts;Living Things;3.73;1.27;4.75;0.62;1.68;1.23;4.46;0.69;0.06;14.20;3.99;6909;3.59;7;3;38
Cervical            ;Neck bone;Body Parts;Living Things;5.48;1.29;3.61;0.98;2.72;1.57;2.99;1.20;0.03;13.28;2.63;524;1.53;8;3;38
Codo                ;Elbow;Body Parts;Living Things;2.53;1.45;4.31;0.79;3.35;1.49;4.21;0.90;0.17;13.22;3.31;1284;2.35;4;2;38
Colon               ;Colon;Body Parts;Living Things;5.86;1.14;2.89;1.17;1.86;1.37;2.77;1.27;0.03;14.95;2.88;588;2.1;5;2;38
Columna vertebral   ;Backbone;Body Parts;Living Things;4.34;1.39;4.34;0.93;1.67;1.26;4.14;0.89;0.06;12.84;0;812;0;16;6;38
Corazón             ;Heart;Body Parts;Living Things;2.40;1.07;4.57;0.74;1.23;0.59;4.69;0.78;0.31;15.81;4.66;17843;4.02;7;3;38
Costilla            ;Rib;Body Parts;Living Things;3.48;1.16;4.09;0.94;1.26;0.68;3.94;1.00;0.08;12.38;2.76;373;2.11;8;3;38
Cúbito              ;Ulna;Body Parts;Living Things;5.37;1.41;2.52;1.34;1.42;0.88;2.72;1.30;0.06;11.46;1.81;69;1.11;6;3;38
Cuello              ;Neck;Body Parts;Living Things;2.21;0.99;4.61;0.73;1.92;1.18;4.39;0.69;0.22;14.26;4.05;8519;3.37;6;2;38
Cuerpo              ;Body (Thorax);Body Parts;Living Things;1.84;0.69;4.63;0.86;3.13;1.63;3.94;1.55;0.17;15.83;4.88;43491;3.96;6;2;38
Dedo                ;Finger;Body Parts;Living Things;1.57;0.71;4.89;0.36;3.78;1.58;4.57;0.74;0.42;14.08;3.79;4860;3.28;4;2;38
Diente              ;Tooth;Body Parts;Living Things;1.83;0.76;4.68;0.44;2.08;1.41;3.88;1.07;0.14;13.80;3.24;1194;2.61;6;2;38
Espalda             ;Back;Body Parts;Living Things;2.35;1.07;4.76;0.45;1.95;1.31;4.51;0.57;0.11;14.29;4;7980;3.45;7;3;38
Estómago            ;Stomach;Body Parts;Living Things;3.12;1.21;4.32;0.77;1.16;0.42;4.12;0.92;0.22;14.12;3.56;3760;3.13;8;4;38
Extremidades        ;Limbs;Body Parts;Living Things;3.76;1.45;4.18;0.97;3.38;1.53;4.27;0.97;0.03;12.90;3.17;1327;1.97;12;5;38
Falange             ;Phalanx;Body Parts;Living Things;5.35;1.56;3.11;1.37;2.90;1.66;2.72;1.31;0.06;11.62;3.02;130;1.43;7;3;38
Fémur               ;Femur;Body Parts;Living Things;4.73;1.31;3.63;1.08;1.29;0.88;3.61;1.16;0.06;11.90;2.63;288;1.59;5;2;38
Fosa nasal          ;Nostril;Body Parts;Living Things;4.81;1.80;3.89;1.19;1.85;1.17;2.82;1.28;0.06;11.34;0;45;0;9;4;38
Frente              ;Forehead;Body Parts;Living Things;2.39;1.43;4.49;0.69;3.33;1.48;3.97;1.07;0.08;15.52;4.99;56243;3.77;6;2;38
Garganta            ;Throat;Body Parts;Living Things;2.47;1.00;4.41;0.84;2.88;1.69;4.09;0.98;0.06;14.03;3.67;2817;3.01;8;3;38
Glúteo              ;Gluteus;Body Parts;Living Things;5.00;1.87;3.71;1.10;1.86;1.20;3.62;1.23;0.03;11.45;1.78;133;1;6;2;38
Hígado              ;Liver;Body Parts;Living Things;4.03;1.32;3.74;1.18;1.18;0.39;3.78;1.19;0.31;14.08;3.35;2694;2.9;6;3;38
Hombro              ;Shoulder;Body Parts;Living Things;2.86;1.12;4.28;0.90;1.76;0.96;4.29;0.79;0.17;13.49;3.73;4038;2.96;6;2;38
Hueso               ;Bone;Body Parts;Living Things;2.64;1.04;4.33;0.88;1.76;1.04;4.27;1.14;0.03;13.80;3.62;2761;2.85;5;2;38
Húmero              ;Humerus;Body Parts;Living Things;5.81;1.31;3.13;1.21;1.44;0.80;3.18;1.12;0.03;13.04;2.14;125;1.11;6;3;38
Intestino           ;Intestine;Body Parts;Living Things;4.59;1.17;3.54;1.18;1.34;0.84;3.35;1.12;0.08;13.45;2.99;1192;2.23;9;4;38
Labio               ;Lip;Body Parts;Living Things;2.49;1.23;4.59;0.55;1.86;1.20;4.11;1.04;0.06;12.84;3.09;906;2.3;5;2;38
Lengua             ;Tongue;Body Parts;Living Things;1.83;0.75;4.61;0.72;3.17;1.51;4.30;0.81;0.14;15.74;4.57;13021;3.22;6;2;38
Lumbar              ;Lumbar;Body Parts;Living Things;5.74;1.47;3.34;1.00;2.42;1.35;2.78;1.05;0.03;13.22;2.47;475;2.06;6;2;38
Mano                ;Hand;Body Parts;Living Things;1.47;0.75;4.97;0.19;4.08;1.03;4.89;0.76;0.58;16.52;4.86;47248;4.03;4;2;38
Matriz              ;Womb;Body Parts;Living Things;5.50;2.37;2.52;1.65;1.80;1.65;1.84;1.42;0.03;13.88;3.67;1606;2.13;6;2;35
Metacarpo           ;Metacarpus;Body Parts;Living Things;6.06;1.98;2.70;1.47;2.16;1.52;2.41;1.38;0.03;9.91;1.36;17;0.6;9;4;38
Metatarso           ;Metatarsus;Body Parts;Living Things;5.89;1.95;2.18;1.46;1.84;1.42;2.27;1.48;0.03;10.54;1.62;24;0;9;4;34
Monte de venus      ;Mound of Venus;Body Parts;Living Things;6.13;2.18;2.66;1.45;1.92;1.39;2.18;1.36;0.06;11.81;0;4;0;12;5;35
Muela               ;Back tooth / Molar;Body Parts;Living Things;3.23;1.29;4.49;0.79;2.05;1.33;3.22;1.36;0.03;13.43;2.82;206;1.81;5;2;38
Muñeca              ;Wrist;Body Parts;Living Things;3.00;1.42;4.15;1.15;2.56;1.31;3.97;0.90;0.17;11.22;3.34;1777;3.09;6;3;38
Músculo             ;Muscle;Body Parts;Living Things;3.37;1.04;4.29;0.74;2.04;1.19;3.94;0.99;0.03;13.50;3.33;1937;2.42;7;3;38
Muslo               ;Thigh;Body Parts;Living Things;3.43;1.37;4.30;0.81;1.87;1.19;3.98;0.84;0.14;12.27;3;1002;2.19;5;2;38
Nariz               ;Nose;Body Parts;Living Things;1.51;0.79;4.83;0.42;2.50;1.31;4.68;0.45;0.36;13.86;3.8;4728;3.35;5;2;38
Nuca                ;Nape;Body Parts;Living Things;3.81;1.32;4.18;1.08;1.84;1.17;3.74;1.20;0.03;12.25;3.14;1807;2.95;4;2;38
Nudillo             ;Knuckle;Body Parts;Living Things;4.10;1.51;3.80;1.07;3.05;1.71;2.89;1.17;0.03;9.76;1.66;15;1.93;7;3;38
Oído                ;Inner ear;Body Parts;Living Things;2.74;1.21;4.63;0.64;2.03;1.28;3.99;0.86;0.06;14.21;4.02;8668;2.9;4;3;38
Ojo                 ;Eye;Body Parts;Living Things;1.59;0.82;4.77;0.70;1.66;1.20;4.89;0.36;0.47;14.78;4.09;7420;4;3;2;38
Ombligo             ;Navel;Body Parts;Living Things;2.39;1.26;4.12;0.85;2.92;1.67;3.86;1.18;0.06;13.05;2.93;719;0.95;7;3;38
Oreja               ;Ear;Body Parts;Living Things;1.93;0.89;4.66;0.60;1.97;1.33;4.56;0.68;0.25;14.01;3.81;3258;2.76;5;3;38
Paladar             ;Palate;Body Parts;Living Things;3.76;1.39;3.82;1.47;1.54;0.94;3.06;1.38;0.03;13.14;2.93;808;1;7;3;38
Palma               ;Palm;Body Parts;Living Things;2.81;0.88;4.24;0.88;3.77;1.59;3.39;1.43;0.06;16.13;3.95;1702;1.95;5;2;38
Páncreas            ;Pancreas;Body Parts;Living Things;5.50;1.16;3.16;1.17;1.32;0.82;3.04;1.13;0.08;12.92;2.73;528;0.6;8;2;38
Pantorrilla         ;Calf;Body Parts;Living Things;4.16;1.45;3.66;1.23;1.61;0.95;3.48;1.22;0.06;10.95;2.3;164;1.45;11;4;38
Parietal            ;Parietal bone;Body Parts;Living Things;6.67;0.65;3.08;1.37;1.27;0.84;2.11;1.18;0.03;11.16;2.38;149;0.48;8;3;38
Párpado             ;Eyelid;Body Parts;Living Things;3.76;1.20;3.72;1.31;1.42;0.96;3.16;1.20;0.03;11.71;2.36;300;1.88;7;3;38
Pecho               ;Chest;Body Parts;Living Things;3.31;1.62;4.18;1.00;1.86;1.40;3.96;0.94;0.25;14.32;4.15;7637;2.91;5;2;38
Pelo                ;Hair;Body Parts;Living Things;1.55;0.69;4.74;0.31;3.39;1.18;3.80;1.34;0.36;15.19;4.03;9835;1.18;4;2;38
Pene                ;Penis;Body Parts;Living Things;4.18;1.52;4.41;1.04;3.29;1.03;3.93;1.37;0.03;14.38;3.18;1023;2.28;4;2;38
Peroné              ;Fibula;Body Parts;Living Things;4.85;1.39;3.26;1.31;1.34;0.74;3.16;1.35;0.08;12.50;2.29;94;1.15;6;3;38
Pie                 ;Foot;Body Parts;Living Things;1.54;0.69;4.75;0.73;2.97;1.31;4.86;0.62;0.69;15.49;4.52;20499;0.78;3;1;38
Pierna              ;Leg;Body Parts;Living Things;1.81;0.72;4.89;0.19;1.82;1.12;4.77;0.38;0.67;13.76;3.68;3970;3.4;6;2;38
Piramidal           ;Pyramidal;Body Parts;Living Things;5.95;2.75;1.76;1.35;1.16;0.97;1.34;1.14;0.03;11.86;2.65;235;0.48;9;4;35
Pisiforme          ;Pisiform bone;Body Parts;Living Things;4.08;3.48;1.20;0.96;0.66;0.74;0.71;0.79;0.03;9.05;1.08;6;0;10;4;23
Pubis               ;Pubis;Body Parts;Living Things;5.36;1.45;3.69;1.03;1.82;1.20;3.29;1.35;0.03;12.27;2.57;492;1.92;5;2;38
Pulmón              ;Lung;Body Parts;Living Things;3.48;1.16;4.24;0.90;1.21;0.60;4.26;0.91;0.06;12.66;3.27;1243;2.24;6;2;38
Radio               ;Radius;Body Parts;Living Things;5.03;1.63;2.89;1.40;2.00;1.70;2.21;1.41;0.06;14.81;4.51;14869;1.66;5;2;38
Riñón               ;Kidney;Body Parts;Living Things;4.41;1.27;3.91;1.20;1.48;1.08;3.87;1.13;0.11;12.96;2.99;954;1.15;5;2;38
Rodilla             ;Knee;Body Parts;Living Things;2.46;1.00;4.52;0.62;1.63;1.01;4.41;0.64;0.19;13.79;3.57;2116;3.01;7;3;38
Sangre              ;Blood;Body Parts;Living Things;2.18;0.84;3.96;1.25;1.71;1.14;2.97;1.40;0.06;15.03;4.51;20665;1.23;6;2;38
Semilunar           ;Semilunar bone;Body Parts;Living Things;5.01;3.05;1.90;1.04;1.79;1.04;1.37;1.00;0.03;9.60;1.58;8;0;9;4;28
Sobaco              ;Armpit;Body Parts;Living Things;3.26;1.19;3.86;1.30;2.64;1.70;3.31;1.16;0.03;10.57;1.98;149;0.95;6;3;38
Talón               ;Heel;Body Parts;Living Things;3.59;1.32;3.61;1.12;1.54;0.96;3.32;1.20;0.08;10.72;2.87;655;1.2;5;2;38
