Word;Sens précis;N;AoA.Moy;AoA.Min;AoA.Max;AoA.ET;CertAge.Moy;CertAge.Min;CertAge.Max;CertAge.ET;FamConcept.Moy;FamConcept.Min;Max;FamConcept.ET
lob ;tennis;21;15.19;7;28;5.49;0.95;-3;3;1.62;1.33;-3;3;2.01
lobe ;oreille;24;8.25;5;14;2.54;-0.04;-3;2;1.49;2.46;-1;3;0.96
lobule ;petit lobe;13;22.54;12;39;7.48;0.54;-3;3;2.34;-0.23;-3;3;2.64
loi ;règle;22;7.50;3;12;1.85;0.00;-3;2;1.48;2.86;1;3;0.46
loir ;animal;19;9.11;2;19;4.29;0.11;-3;3;1.65;1.63;-3;3;1.87
Loire ;rivière;25;8.56;4;16;2.73;1.40;-2;3;1.41;2.48;-2;3;1.14
loisir;;20;7.80;3;12;1.86;0.20;-3;3;1.75;2.90;1;3;0.44
long ;durée;17;5.12;3;8;1.18;0.29;-2;2;1.64;2.94;2;3;0.24
long ;taille;15;4.07;1;6;1.29;0.67;-3;2;1.58;2.87;2;3;0.34
lopin ;terrain;21;10.86;4;18;3.44;-0.33;-3;2;1.67;2.43;-3;3;1.50
lot ;assortiment;21;11.00;7;15;2.31;-0.19;-3;3;1.65;2.52;-1;3;1.01
lot ;destinée;24;11.63;6;18;3.04;-0.08;-3;2;1.63;2.21;-3;3;1.47
lot ;terrain;23;12.00;7;18;3.02;-0.43;-3;2;1.88;1.70;-3;3;1.68
lotus ;fleur;26;10.23;5;15;2.78;0.31;-3;2;1.54;1.73;-3;3;1.85
loup ;mammifère;20;4.50;2;8;1.69;0.60;-2;3;1.53;2.70;-1;3;0.95
loup ;masque;22;10.09;6;15;2.61;-0.18;-3;3;1.77;2.00;-3;3;1.60
loup ;poisson;19;12.32;5;22;4.22;0.74;-2;3;1.65;1.37;-3;3;2.03
loupe;;18;6.67;3;9;1.76;0.61;-2;2;1.21;2.17;-2;3;1.30
lu ;lire;24;5.46;2;9;1.55;0.17;-3;3;1.70;2.96;2;3;0.20
luge;;21;4.76;2;10;1.87;1.52;-2;3;1.26;2.57;-1;3;1.00
lui ;pronom;19;4.53;2;10;1.87;0.74;-2;3;1.71;2.95;2;3;0.22
luit ;luire;26;10.08;4;16;3.02;0.23;-2;3;1.40;2.08;-2;3;1.62
lys, lis ;fleur;20;8.15;4;12;2.24;0.05;-3;3;1.99;2.25;-3;3;1.41
ma ;mon;23;4.04;2;8;1.60;1.39;-1;3;1.24;2.96;2;3;0.20
mage;;20;7.55;3;13;2.78;0.55;-2;3;1.69;2.15;-3;3;1.59
maille ;textile;12;8.50;4;14;3.20;-0.33;-3;2;1.75;2.25;-2;3;1.42
mammouth;;22;7.73;5;14;2.42;0.23;-2;3;1.51;2.64;-3;3;1.26
manège ;attraction;26;4.23;2;6;1.34;0.81;-3;3;1.78;2.65;-2;3;1.04
manège ;comportement;24;9.21;4;14;2.77;-0.25;-3;3;1.71;2.54;-2;3;1.08
manège ;équitation;22;9.73;3;16;2.86;0.73;-2;3;1.51;2.41;-2;3;1.47
mante ;insecte;16;9.50;6;15;2.50;0.13;-3;3;1.80;2.13;-2;3;1.49
marbre;;26;8.31;3;14;2.66;0.31;-3;3;1.86;2.62;-2;3;1.00
marbrure;;18;11.44;5;18;3.55;0.06;-2;3;1.61;2.00;-2;3;1.73
mare ;flaque;19;5.42;4;8;1.18;0.42;-2;3;1.43;2.26;-1;3;1.48
marmaille;;16;10.69;5;16;3.08;-0.25;-2;2;1.56;2.13;-2;3;1.54
mas ;maison;16;11.81;5;16;3.45;-0.06;-2;2;1.39;1.75;-2;3;1.75
mat ;échecs;19;10.84;4;15;2.76;0.53;-2;3;1.60;1.89;-1;3;1.45
mât ;perche;23;9.04;4;13;2.46;0.13;-3;2;1.45;2.57;-2;3;1.10
mat ;sans éclat;24;9.17;5;16;2.92;0.17;-3;3;1.77;2.38;-3;3;1.52
mate ;soumettre;22;12.18;7;19;3.24;0.27;-3;3;1.86;1.27;-3;3;2.34
math ;mathématiques;25;7.76;4;14;2.63;0.96;-3;3;1.46;2.84;1;3;0.46
mèche ;cheveux;19;5.47;3;9;1.43;-0.05;-3;3;1.85;2.37;-2;3;1.42
mèche ;complicité;20;10.80;4;16;2.87;0.05;-3;2;1.88;2.50;1;3;0.74
mèche ;perceuse;23;11.22;5;22;4.72;0.22;-3;3;1.67;1.83;-3;3;1.83
menthe ;végétal;21;7.57;4;10;1.73;0.05;-3;2;1.68;2.67;-1;3;0.89
mi ;note;31;7.65;4;12;2.28;0.55;-3;3;1.66;2.29;-2;3;1.51
mie ;pain;20;4.95;2;9;2.13;-0.35;-3;2;1.62;2.90;2;3;0.30
mine ;apparence;26;8.46;5;16;3.03;0.19;-3;3;1.75;2.62;-1;3;0.92
mine ;crayon;22;5.05;3;8;1.33;1.23;-1;3;1.13;2.77;-1;3;0.85
mine ;explosif;19;10.42;6;15;2.37;1.16;-1;3;1.39;2.42;-2;3;1.53
mine ;gisement;24;9.13;6;15;2.05;0.25;-3;3;1.56;2.71;-2;3;1.02
mir ;station orbitale;18;17.67;9;35;7.26;-0.33;-3;2;1.53;1.89;-3;3;1.97
mire ;visée;17;11.88;6;15;2.49;-0.94;-3;1;1.59;1.47;-3;3;1.82
mite ;insecte;17;8.76;4;16;3.81;0.47;-3;2;1.68;2.18;-3;3;1.62
mode ;un mode;26;10.12;6;14;2.44;0.38;-3;3;1.71;2.50;-1;3;1.12
mode ;une mode;22;7.36;5;12;2.01;-0.14;-2;3;1.79;2.73;1;3;0.54
moi ;je;20;3.40;2;6;1.28;0.55;-3;3;1.94;2.90;1;3;0.44
mois ;durée;22;5.41;2;8;1.78;0.32;-3;2;1.61;2.82;1;3;0.49
mot ;langage;18;4.44;2;8;1.57;0.44;-2;3;1.71;2.94;2;3;0.23
mou ;mollesse;17;5.53;1;10;2.28;0.29;-2;3;1.56;2.82;1;3;0.51
mou ;poumon;25;12.72;4;27;6.25;0.60;-3;3;2.06;0.96;-3;3;2.22
moue ;grimace;20;8.40;3;13;2.91;0.65;-2;2;1.28;2.35;1;3;0.79
mousse ;écume;17;5.94;3;12;2.62;0.41;-2;2;1.61;2.82;2;3;0.38
mousse ;jeune marin;20;9.50;4;14;2.48;-0.55;-3;2;1.72;1.65;-3;3;1.68
mousse ;végétal;16;6.94;4;12;2.08;0.94;-2;3;1.52;2.56;-3;3;1.46
mousseline ;tissu;18;10.50;6;15;3.27;0.33;-3;2;1.63;1.83;-3;3;1.71
moustache;;25;4.04;2;7;1.43;0.76;-3;3;1.70;2.64;-1;3;0.93
moût ;fermentation;24;14.71;5;28;6.79;0.46;-3;3;1.68;1.25;-3;3;2.15
mu ;lettre;22;14.91;10;22;2.91;0.95;-3;3;1.66;1.05;-3;3;2.31
mue ;change;15;8.60;5;12;2.06;0.27;-2;2;1.65;2.40;-3;3;1.50
mue ;tégument;14;12.43;8;23;5.43;0.43;-2;3;1.68;0.79;-3;3;2.83
mule ;animal;20;7.50;3;12;2.82;0.35;-2;3;1.53;2.45;-1;3;0.97
mûr ;maturité;20;8.65;3;15;3.29;-0.15;-3;2;1.46;2.60;1;3;0.73
mur ;paroi;20;5.85;2;14;3.02;0.80;-3;3;2.01;2.90;1;3;0.44
mûre ;fruit;20;7.05;3;12;2.22;0.40;-3;2;1.56;2.65;1;3;0.57
musc;;27;13.74;7;20;3.49;0.04;-3;3;1.82;1.81;-3;3;1.85
muscade ;végétal;18;13.44;6;22;4.68;0.56;-3;3;1.74;1.72;-3;3;2.21
myrrhe ;résine;20;13.75;6;26;6.63;0.10;-3;3;1.97;0.40;-3;3;2.52
mythe ;imaginaire;21;11.00;7;18;3.34;0.19;-2;3;1.53;2.71;-2;3;1.08
na ;onomatopée;19;4.42;1;12;3.08;0.26;-3;2;1.62;1.47;-3;3;1.98
nain;;23;5.96;4;10;1.73;0.04;-3;2;1.71;2.57;-1;3;1.14
ne ;négation;22;4.50;1;9;2.08;-0.14;-3;2;1.63;3.00;3;3;0.00
nef ;église;19;12.84;5;26;5.53;1.32;-2;3;1.38;1.95;-3;3;1.79
nef ;navire;21;12.52;7;21;3.30;-0.33;-3;3;1.78;1.43;-3;3;2.08
neige;;22;3.68;2;6;1.36;0.95;-2;3;1.43;2.73;-1;3;0.91
nerf ;anatomie;17;9.41;6;15;2.55;0.06;-2;3;1.59;2.76;2;3;0.42
nerf ;volonté, énergie;21;10.29;5;16;3.09;-0.38;-3;2;1.59;2.33;-2;3;1.17
ni ;conjonction;16;6.19;4;10;1.81;0.38;-3;3;1.73;3.00;3;3;0.00
niais;;23;9.22;4;13;2.17;-0.35;-3;2;1.55;2.43;-1;3;1.01
niche ;habitat;18;4.89;3;7;1.24;-0.06;-3;2;1.39;2.89;1;3;0.46
nid ;habitat;20;4.90;2;9;1.84;0.50;-3;2;1.43;2.60;-1;3;1.02
nièce;;21;7.48;3;16;3.63;0.76;-2;3;1.60;2.62;-2;3;1.13
noeud ;entrecroisement;17;6.76;3;11;2.04;0.47;-2;3;1.46;2.59;1;3;0.69
noeud ;unité de vitesse;19;12.63;8;20;3.44;0.58;-2;2;1.70;1.53;-3;3;2.16
noie ;noyade;15;7.40;3;14;2.65;-0.13;-3;3;1.86;2.40;-1;3;1.36
Noir ;africain;19;6.79;2;11;2.84;0.37;-2;2;1.35;2.63;-2;3;1.13
noir ;couleur;22;3.64;2;6;0.98;1.23;-1;3;1.31;2.95;2;3;0.21
noir ;obscurité;19;3.63;1;6;1.53;1.37;-2;3;1.63;2.84;2;3;0.36
noix ;fruit;23;5.52;2;10;2.04;-0.26;-3;2;1.67;2.65;-2;3;1.09
nord;;18;6.72;4;10;1.48;0.44;-3;2;1.38;2.89;1;3;0.46
novice;;16;10.63;7;14;1.83;0.44;-2;2;1.58;2.31;-2;3;1.21
nuit ;durée;23;5.26;2;10;2.27;-0.13;-3;2;1.68;2.83;1;3;0.48
nuit ;obscurité;27;3.59;1;8;1.62;0.85;-3;3;1.67;2.93;2;3;0.26
Nyon ;ville;15;14.53;7;20;4.98;-0.87;-3;3;1.75;0.80;-3;3;2.48
ode ;poème;20;12.90;9;16;1.87;0.55;-3;2;1.56;2.05;-2;3;1.53
œil;;21;3.57;2;6;1.22;0.95;-3;3;1.73;2.76;1;3;0.53
œufs;;25;4.20;1;7;1.77;0.60;-3;3;1.60;2.84;1;3;0.46
oie ;animal;19;5.05;3;8;1.54;0.84;-2;3;1.46;2.47;-2;3;1.14
Oise ;rivière;24;13.63;4;21;4.62;0.54;-3;3;2.04;1.00;-3;3;2.36
on ;pronom pers.;16;4.75;2;8;1.71;-0.50;-3;2;1.70;3.00;3;3;0.00
onde;;17;9.88;5;16;3.16;0.41;-2;2;1.50;2.24;-2;3;1.48
ont ;avoir;16;4.69;2;8;1.57;0.63;-2;2;1.32;2.88;2;3;0.33
onze ;11;19;4.32;2;7;1.26;1.37;-1;3;1.42;2.95;2;3;0.22
or ;conjonction;19;8.21;5;13;2.12;0.21;-3;3;1.73;2.53;-2;3;1.19
or ;métal;21;6.10;2;14;2.65;0.48;-2;3;1.68;2.67;1;3;0.64
orbe ;astronomie;25;21.20;9;42;7.17;0.92;-3;3;2.10;-0.76;-3;3;2.60
orme ;arbre;19;11.42;4;16;3.31;-0.16;-3;2;1.66;1.89;-3;3;1.68
ornait ;orner;19;9.79;4;14;2.80;-0.37;-3;2;1.49;2.11;-2;3;1.45
orne ;orner;20;10.00;5;15;2.76;0.05;-3;2;1.69;2.15;-1;3;1.06
orne ;végétal;25;14.84;7;26;6.06;0.16;-3;3;2.31;0.60;-3;3;2.37
os;;21;4.19;1;7;1.62;0.76;-1;3;1.34;2.90;1;3;0.43
ose ;glucide;13;19.46;13;27;4.48;1.38;-3;3;1.86;-0.46;-3;3;2.79
ose ;oser;19;5.95;2;8;1.61;0.79;-2;3;1.58;2.95;2;3;0.22
ou ;conj.;21;4.48;2;8;1.56;0.33;-2;3;1.78;2.95;2;3;0.21
où ;localisation;21;4.00;2;8;1.88;1.00;-3;3;1.51;2.95;2;3;0.21
ouille ;douleur;17;4.53;3;8;1.58;0.41;-3;3;1.82;2.35;-3;3;1.64
ouste ;onomatopée;22;5.09;1;8;1.93;0.95;-1;3;1.22;2.68;-1;3;0.92
paie ;salaire;27;8.74;4;17;3.32;0.37;-3;3;1.64;2.67;1;3;0.67
pain ;aliment;16;4.13;2;9;1.87;0.88;-2;3;1.76;3.00;3;3;0.00
pain ;coup;20;9.30;2;15;4.50;0.15;-3;3;1.88;2.10;-3;3;1.79
pain ;masse;18;11.72;4;26;6.40;-0.94;-3;3;1.75;1.33;-3;3;2.21
pair ;égalité;21;10.19;7;15;2.44;0.43;-2;3;1.43;2.33;-3;3;1.49
pair ;multiple de 2;17;7.53;5;10;1.54;0.35;-2;3;1.49;2.76;1;3;0.55
paire ;couple;24;7.42;3;13;2.53;0.42;-1;3;1.29;2.75;1;3;0.60
paix ;pacifique;24;6.71;2;12;2.47;0.83;-2;3;1.57;2.75;-1;3;0.83
pal ;pieu;23;13.78;7;26;5.12;0.17;-3;3;1.69;0.87;-3;3;2.38
pâle ;blafard;26;7.88;3;14;2.68;0.58;-3;3;1.64;2.65;1;3;0.68
pale ;hélice;21;11.62;6;16;3.29;0.29;-3;3;1.86;2.00;-3;3;1.54
palette ;assortiment;20;10.80;7;14;2.23;0.15;-2;2;1.42;2.50;-2;3;1.20
palette ;manutention;28;15.36;7;25;4.82;0.36;-3;3;1.91;1.82;-3;3;1.81
pan ;surface;16;10.25;4;17;3.60;-0.19;-2;3;1.78;2.25;-2;3;1.35
paon ;oiseau;18;6.72;3;12;2.23;0.78;-2;3;1.62;2.44;-1;3;1.07
paon ;papillon;21;10.05;3;16;3.93;0.52;-2;3;1.71;1.71;-2;3;1.61
parc ;enclos, jardin, réserve;28;4.93;2;8;1.75;0.93;-2;3;1.33;2.86;1;3;0.44
parc ;parking;17;8.00;3;15;3.12;0.35;-2;2;1.57;2.35;-2;3;1.23
parcours;;27;8.04;4;14;2.70;0.41;-3;3;1.59;2.89;2;3;0.31
parloir;;16;9.94;7;15;2.28;-0.13;-3;3;1.65;2.19;-1;3;1.18
paroi;;27;8.56;2;14;3.12;0.19;-3;2;1.47;2.44;-2;3;1.37
part ;partie;19;5.53;3;10;1.90;0.58;-1;3;1.43;2.79;1;3;0.52
partance;;23;12.30;7;16;2.49;0.04;-3;3;1.76;2.00;-2;3;1.69
pas ;enjambée;14;4.86;2;8;1.88;1.07;-2;3;1.44;3.00;3;3;0.00
pas ;négation;21;3.14;1;7;1.55;1.19;-3;3;1.65;2.95;2;3;0.21
pas ;seuil;23;8.83;4;14;2.70;0.13;-2;2;1.51;2.35;-1;3;1.37
pas ;vis;17;10.06;5;15;3.02;0.18;-3;2;1.69;2.29;-1;3;1.13
passe ;passage;16;8.44;5;13;2.67;-0.06;-3;2;1.82;2.31;-2;3;1.31
passe ;passer;19;5.79;2;10;2.31;1.00;-2;3;1.34;2.63;-3;3;1.35
passe ;prostitution;21;14.29;10;20;2.53;0.14;-3;3;1.81;2.19;-2;3;1.22
pasteur ;berger;13;9.38;5;14;2.43;0.15;-3;3;2.03;2.46;-1;3;1.08
pasteur ;prêtre;21;8.95;3;15;3.33;0.33;-3;3;1.83;2.10;-3;3;1.63
Pasteur ;scientifique;27;10.48;3;14;2.73;0.67;-3;3;1.56;2.26;-2;3;1.48
patience;;22;6.45;2;11;2.04;0.18;-3;3;1.85;2.77;1;3;0.52
Pau ;ville;24;12.25;6;20;3.89;0.25;-2;3;1.71;1.71;-3;3;1.84
paupière;;18;5.56;2;10;2.31;-0.44;-3;2;1.64;2.94;2;3;0.23
paupiette ;cuisine;13;11.15;5;16;3.39;-0.31;-3;2;1.90;1.54;-2;3;1.74
peace ;paix;26;12.08;8;17;2.49;1.00;-3;3;1.75;2.35;-2;3;1.11
peau ;surface;24;4.00;2;7;1.22;1.21;-3;3;1.53;2.83;2;3;0.37
peint ;peinture;27;5.81;3;12;2.16;0.85;-3;3;1.63;2.78;1;3;0.63
pende ;pendre;19;8.26;4;14;2.47;-0.47;-3;2;1.90;2.42;-1;3;1.27
pendu ;mort;19;7.47;3;10;1.90;0.58;-2;3;1.46;2.26;-2;3;1.21
pendule ;horlogerie;22;6.41;2;10;1.80;0.59;-2;2;1.47;2.64;-1;3;0.93
pendule ;radiesthésie;18;11.00;6;16;3.07;0.11;-3;2;1.76;2.11;-3;3;1.56
pente ;inclinaison;19;6.47;2;10;2.16;-0.26;-2;2;1.37;2.74;1;3;0.64
perdre;;23;4.65;2;7;1.13;0.96;-1;3;1.04;2.83;1;3;0.48
perdrix ;oiseau;23;8.00;5;12;1.64;0.74;-2;2;1.42;2.30;-3;3;1.33
père;;19;4.05;1;7;1.47;1.05;-1;3;1.32;2.53;-3;3;1.35
pet ;gaz;24;5.25;2;8;1.79;0.50;-2;3;1.38;2.46;-1;3;1.00
peur;;24;4.67;2;8;1.72;1.13;-3;3;1.54;2.79;1;3;0.50
phare;;24;6.08;2;9;1.91;0.58;-2;3;1.53;2.67;-2;3;1.07
phénol ;chimie;16;18.56;13;27;4.15;1.25;-3;3;1.89;1.56;-3;3;2.40
phrase;;22;5.77;4;8;1.04;0.36;-3;3;1.58;2.86;1;3;0.46
phrasé ;expression;19;14.79;10;19;2.24;0.05;-3;3;2.01;1.89;-3;3;1.83
pi ;lettre;22;11.09;7;14;1.70;1.00;-2;3;1.41;2.41;-3;3;1.34
pie ;couleur;19;14.00;6;30;7.08;-0.11;-3;3;2.12;1.53;-3;3;2.01
pie ;oiseau;19;5.84;3;11;2.13;1.58;-1;3;1.27;2.53;-2;3;1.19
pied ;anatomie;24;3.42;2;6;1.29;1.17;-3;3;1.75;2.92;2;3;0.28
pied ;plaisir;24;12.00;2;18;3.66;0.63;-3;3;1.60;2.50;-2;3;1.08
pierre ;minéral;28;4.36;2;6;1.34;0.54;-2;3;1.55;2.82;-1;3;0.76
Pierre ;prénom;14;4.50;1;8;2.03;0.71;-2;3;1.71;3.00;3;3;0.00
pin ;végétal;16;7.25;3;13;2.73;-0.06;-3;2;1.56;2.56;-1;3;1.00
pion ;pièce;15;6.80;4;11;1.94;0.60;-2;2;1.36;2.67;-1;3;1.01
pion ;surveillant;23;10.70;5;15;2.03;1.52;-1;3;1.25;2.43;-1;3;0.88
pirate;;18;6.56;5;8;1.07;0.39;-2;2;1.42;2.39;-3;3;1.42
pire ;mauvais;23;6.48;2;10;2.10;-0.04;-3;3;1.73;2.91;1;3;0.41
pis ;mamelle;25;6.36;3;10;2.21;0.52;-3;2;1.70;2.28;-3;3;1.54
pis ;pire;21;10.48;4;15;3.03;0.19;-2;3;1.65;1.57;-3;3;1.81
pisse ;urine;23;5.91;2;10;1.95;0.70;-2;3;1.52;2.39;-3;3;1.34
place ;espace;19;5.79;2;8;1.88;0.26;-3;2;1.55;2.68;1;3;0.57
plaie ;blessure;19;7.63;3;11;2.08;0.11;-3;2;1.68;2.53;-2;3;1.14
plan ;dessin;27;8.41;4;14;2.42;0.19;-3;3;1.42;2.63;-2;3;1.02
plan ;projet;14;10.57;8;15;1.84;0.00;-3;2;1.69;2.79;2;3;0.41
plan ;surface;18;10.78;7;15;2.35;0.28;-3;2;1.48;2.56;-2;3;1.21
plant ;végétal;15;10.53;6;17;2.96;0.07;-3;3;1.81;2.47;1;3;0.62
plat ;surface;20;5.80;3;10;2.09;0.30;-3;2;1.79;2.90;1;3;0.44
plat ;vaisselle;20;5.65;2;10;2.01;0.50;-2;3;1.57;2.90;2;3;0.30
plomb ;dentiste;20;8.50;5;14;2.38;0.10;-2;3;1.51;2.45;-2;3;1.40
plomb ;fusible;23;8.87;3;14;2.76;1.00;-1;3;1.06;2.78;1;3;0.51
plomb ;métal;21;8.95;5;12;2.06;0.24;-3;3;1.72;2.62;-1;3;0.90
plomb ;munition;22;9.36;6;13;1.92;-0.32;-3;2;1.55;2.00;-3;3;1.73
plot ;billot;16;11.38;4;15;2.64;-1.00;-3;2;1.58;1.13;-3;3;2.23
plot ;électricité;20;15.05;7;26;4.68;-0.85;-3;3;1.93;1.20;-3;3;2.11
plot ;sport;15;11.87;5;20;4.38;0.13;-3;3;1.78;0.93;-3;3;2.08
pluie;;19;3.79;1;7;1.73;0.68;-1;3;1.38;3.00;3;3;0.00
pneu;;18;6.17;4;10;1.89;0.67;-2;3;1.53;2.72;1;3;0.65
poids ;balance, pesée;18;6.44;3;10;1.80;0.11;-3;3;1.70;2.72;1;3;0.65
poids ;lourdeur;28;6.11;2;10;2.04;0.43;-3;3;1.95;2.86;2;3;0.35
poignard;;22;7.27;3;13;2.20;0.14;-3;3;1.84;2.73;-1;3;0.86
poigne ;fermeté;21;9.19;4;14;2.99;-0.57;-3;2;1.87;2.38;-2;3;1.46
poigne ;serrement de mains;19;10.00;5;16;2.92;-0.32;-3;2;1.69;2.21;-2;3;1.20
pois ;rond, dessin;20;7.70;3;15;3.47;-0.10;-3;3;1.84;2.40;-2;3;1.20
pois ;végétal;26;6.12;2;14;3.29;0.15;-3;2;1.63;2.42;-3;3;1.39
poix ;goudron;17;14.41;5;28;6.98;0.65;-3;3;1.91;0.71;-3;3;2.58
pont ;navire;20;7.55;3;14;3.15;0.95;-3;3;1.66;2.65;-1;3;0.96
pont ;vacances;24;12.00;5;18;3.48;-0.33;-3;2;1.49;2.63;1;3;0.70
pont ;viaduc;18;4.78;2;8;1.72;0.56;-2;3;1.67;2.89;2;3;0.31
porc ;animal;31;5.77;3;10;1.84;0.32;-2;3;1.61;2.45;-2;3;1.34
porc ;débauché;19;11.11;4;18;3.34;-0.37;-3;3;2.11;1.89;-3;3;1.89
pore ;orifice;12;13.00;6;18;3.32;0.83;-2;2;1.52;1.83;-2;3;1.62
port ;maritime;29;6.21;4;10;1.69;0.62;-2;2;1.40;2.72;-1;3;0.87
port ;porter;16;10.56;4;15;2.94;-0.44;-3;3;1.69;1.81;-2;3;1.63
port ;silhouette;18;12.78;9;16;2.04;-0.56;-3;2;1.83;1.89;-2;3;1.56
poste ;appareil;22;8.05;4;14;2.69;0.27;-3;3;1.57;2.64;1;3;0.64
poste ;courrier;20;5.85;3;11;1.98;0.25;-2;3;1.44;2.80;1;3;0.51
poste ;emploi, fonction;23;10.17;4;15;2.85;0.17;-2;3;1.49;2.74;-1;3;0.85
postier;;20;7.20;4;13;2.38;0.65;-2;3;1.98;2.55;-2;3;1.36
pot ;chance;19;9.21;5;16;2.74;0.05;-3;2;1.67;2.63;1;3;0.67
pot ;cocktail;16;14.13;8;18;2.93;0.31;-2;3;1.69;2.44;-2;3;1.22
pot ;récipient;31;4.84;2;10;2.00;0.77;-2;3;1.77;2.58;-1;3;0.87
pote ;copain;23;10.13;6;15;2.38;0.57;-3;3;1.86;2.57;-2;3;1.10
pou ;parasite;24;6.33;3;14;2.17;0.58;-2;3;1.53;2.71;-2;3;1.02
poudre;;18;6.39;3;12;2.56;0.44;-2;3;1.71;2.83;1;3;0.50
poudreuse ;machine;23;15.61;8;26;5.26;-1.09;-3;3;2.10;-0.04;-3;3;1.94
poudreuse ;neige;19;10.47;5;15;3.62;0.79;-3;3;1.70;2.63;2;3;0.48
poudreux ;qualité;17;9.12;6;12;1.41;0.18;-3;3;1.82;2.29;-1;3;1.32
pratique ;activité, expérience;21;9.71;3;16;3.40;0.05;-3;3;1.79;2.81;1;3;0.50
pratique ;commodité;18;8.00;5;10;2.00;0.39;-3;3;1.80;2.67;1;3;0.58
pré ;prairie;27;4.81;2;10;2.13;1.00;-2;3;1.47;2.63;-1;3;0.87
préface;;22;11.68;6;17;2.67;1.00;-2;3;1.31;2.59;-2;3;1.11
près ;proche;20;5.15;2;8;1.65;0.30;-2;3;1.71;2.90;2;3;0.30
presse ;comprimer, hâte;25;8.20;3;14;2.59;-0.44;-2;2;1.50;2.72;1;3;0.53
presse ;imprimerie;22;9.68;7;14;2.05;-0.45;-3;2;1.50;2.18;-1;3;1.37
presse ;média;20;10.80;6;16;3.04;0.20;-3;2;1.60;2.90;2;3;0.30
prêt ;disposé;19;6.00;3;11;2.00;-0.37;-3;2;1.75;2.53;-2;3;1.19
prêt ;prêter;24;5.38;3;9;1.91;0.33;-3;3;1.70;2.75;-1;3;0.88
prince;;16;4.69;2;8;1.79;0.31;-2;3;1.57;2.63;-2;3;1.22
principe;;15;10.13;5;15;2.87;-0.07;-3;3;1.73;2.80;1;3;0.54
prise ;dispositif;19;6.26;2;10;2.49;0.21;-1;2;1.20;2.84;1;3;0.49
prise ;saisie;20;8.65;3;13;2.41;-0.20;-3;2;1.40;2.30;-2;3;1.23
prix ;récompense;15;6.20;4;8;1.22;0.27;-2;2;1.53;2.67;1;3;0.60
prix ;valeur;20;5.80;3;8;1.44;0.15;-3;3;1.77;3.00;3;3;0.00
proie;;19;7.68;4;12;2.10;-0.26;-3;2;1.65;2.11;-1;3;1.25
proscrit ;banni;19;12.00;7;16;2.71;0.00;-3;2;1.49;1.84;-2;3;1.66
prose;;16;11.63;8;15;2.12;0.13;-3;3;2.00;2.50;-2;3;1.27
prou ;beaucoup;16;11.88;5;16;2.85;0.44;-2;2;1.58;1.13;-2;3;1.83
proue ;bateau;22;10.59;4;17;3.31;0.14;-3;2;1.87;1.86;-3;3;1.46
puce ;insecte;21;7.10;3;14;2.56;0.24;-2;3;1.57;2.57;-2;3;1.14
puce ;marché;22;10.27;4;15;3.47;0.82;-2;3;1.34;2.50;-1;3;0.99
puce ;processeur;14;14.14;9;18;2.39;0.21;-3;2;1.61;2.36;-2;3;1.29
pur;;23;7.13;5;12;1.94;-0.09;-3;3;1.69;2.52;-1;3;1.17
pus ;infection;18;7.61;2;14;2.97;0.56;-2;2;1.42;2.17;-1;3;1.30
pyrite ;minéral;20;15.25;7;23;4.16;-0.10;-3;3;2.02;0.30;-3;3;2.28
quai ;platte-forme;26;8.19;4;14;2.43;0.69;-2;3;1.41;2.62;-2;3;1.08
quand ;conjonction;21;5.00;3;8;1.48;0.76;-2;3;1.60;2.95;2;3;0.21
quart ;marine;20;15.55;9;25;4.61;0.35;-3;3;1.98;0.70;-3;3;2.49
quart ;portion;17;7.59;5;11;2.12;0.00;-3;2;1.64;2.71;1;3;0.57
que ;pronom;21;5.43;1;9;2.06;0.48;-3;3;1.40;2.95;2;3;0.21
querelle;;18;9.17;6;14;2.34;0.22;-3;2;1.55;2.50;-2;3;1.26
queue ;animal;20;4.00;2;6;1.14;1.25;-2;3;1.30;2.65;-3;3;1.31
queue ;file d'attente;16;5.63;2;11;2.57;1.38;-2;3;1.27;2.88;2;3;0.33
race;;19;8.58;5;13;2.35;0.21;-2;2;1.44;2.53;-1;3;0.99
race ;espèce;16;7.44;4;10;1.54;0.19;-3;3;1.70;2.38;-1;3;1.32
radar;;21;10.05;6;14;2.42;0.29;-3;3;1.64;2.62;1;3;0.58
rade ;mer;21;12.05;4;20;4.86;0.33;-3;3;1.89;1.90;-3;3;1.63
rade ;panne;15;12.73;8;18;2.79;-0.07;-2;3;1.81;1.67;-2;3;1.81
radium ;chimie;26;14.46;8;17;2.02;1.31;-2;3;1.41;2.12;-3;3;1.42
rage ;colère;18;6.83;2;12;2.48;-0.39;-2;2;1.53;2.39;-2;3;1.42
rage ;maladie;22;8.73;6;13;2.09;0.32;-3;3;1.61;2.05;-3;3;1.87
raie ;animal;24;8.83;4;13;2.13;0.42;-3;2;1.55;2.46;-3;3;1.29
raie ;ligne;19;8.00;3;16;4.01;0.32;-2;3;1.66;2.21;-3;3;1.70
râle ;agonie;22;11.86;6;16;2.93;-0.36;-2;2;1.49;1.77;-2;3;1.65
râle ;mécontentement;25;9.84;4;17;3.47;0.12;-2;2;1.39;2.36;-1;3;1.16
rampe ;lancement;23;11.00;5;16;2.87;0.48;-3;3;2.04;2.22;-3;3;1.56
