Word;Sens précis;N;AoA.Moy;AoA.Min;AoA.Max;AoA.ET;CertAge.Moy;CertAge.Min;CertAge.Max;CertAge.ET;FamConcept.Moy;FamConcept.Min;Max;FamConcept.ET
crack ;drogue;16;18.75;13;35;6.11;1.06;-1;3;1.52;0.88;-3;3;1.96
craie ;roche;18;7.56;4;14;2.93;0.28;-3;3;1.85;2.50;-3;3;1.38
craie ;tableau;24;5.13;2;14;2.44;1.79;-1;3;1.08;2.75;1;3;0.60
crainte;;14;8.79;5;13;2.21;-0.50;-3;2;1.68;2.86;2;3;0.35
crampe;;19;8.47;4;12;2.04;0.11;-2;3;1.48;2.68;1;3;0.65
cran ;courage;15;10.13;4;15;2.99;-0.07;-3;2;1.65;2.40;-1;3;1.08
cran ;niveau;13;8.69;4;14;2.58;0.08;-2;2;1.54;2.85;1;3;0.53
cravate;;21;5.71;2;9;2.00;0.48;-2;3;1.76;2.81;1;3;0.50
cri;;18;4.17;1;7;1.64;1.00;-2;3;1.60;2.56;-1;3;1.07
cric ;outil;26;10.88;2;21;4.47;0.46;-3;3;1.95;2.00;-3;3;1.90
crin ;poil;22;7.91;3;13;2.61;0.64;-3;2;1.52;2.41;-3;3;1.47
crique ;baie;17;10.18;6;17;2.75;0.41;-2;3;1.54;2.24;-2;3;1.26
croit ;croire;19;6.11;2;11;2.59;0.11;-2;3;1.59;3.00;3;3;0.00
croit ;croître;25;9.40;4;15;2.97;-0.08;-3;3;1.57;2.60;-1;3;0.89
croix ;forme;21;4.95;3;11;1.70;0.57;-2;2;1.29;2.81;-1;3;0.85
croupe;;32;11.03;5;16;3.38;-0.03;-3;3;1.81;1.88;-3;3;2.09
croûte;;20;5.95;2;11;2.09;0.30;-2;3;1.62;2.60;-2;3;1.16
cru - crue ;cuisson;20;5.80;3;11;2.20;0.10;-3;2;1.81;2.70;1;3;0.64
cru ;vin;20;15.25;9;23;4.21;0.45;-2;3;1.69;2.20;-1;3;1.29
crue ;débordement;18;9.22;5;15;2.62;0.72;-2;3;1.69;2.67;-1;3;0.94
cul;;16;6.31;4;9;1.61;-0.06;-3;3;1.85;3.00;3;3;0.00
cure;;24;10.58;7;15;2.22;0.08;-3;3;1.91;2.50;-1;3;1.00
daim ;animal;13;8.31;4;12;2.40;-0.15;-2;3;1.66;2.00;-3;3;1.66
daim ;matière;15;10.20;4;15;3.39;0.27;-3;3;1.84;2.13;-3;3;1.75
dais ;étoffe;22;18.82;7;34;7.20;0.77;-3;3;2.25;-1.09;-3;3;2.25
dalle ;plaque;19;8.42;5;16;2.72;-0.42;-3;2;1.66;2.53;-2;3;1.14
danois ;chien;23;12.57;4;25;5.63;0.35;-3;3;1.58;1.52;-3;3;2.00
Danois ;Danemark;20;9.35;6;14;2.29;0.20;-3;3;1.75;2.30;-3;3;1.68
dans ;intra;20;4.30;2;7;1.73;0.75;-2;3;1.51;2.95;2;3;0.22
danse ;mouvements;23;4.96;2;9;1.92;0.70;-3;3;1.65;2.52;-2;3;1.14
dard;;25;7.72;4;15;2.36;0.44;-2;3;1.44;1.96;-3;3;1.82
daube ;odeur;18;13.28;10;16;1.94;-0.56;-3;2;1.86;1.50;-2;3;1.54
daube ;viande;16;13.06;4;20;5.17;-0.50;-3;2;1.84;0.94;-2;3;2.05
dé ;jeu;15;5.27;3;14;2.57;1.00;-2;3;1.32;2.80;1;3;0.54
décade;;22;12.91;7;18;2.83;0.45;-2;3;1.53;1.55;-3;3;2.06
