Appendix C. Spanish base and complex words phonologically opaque;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;
Base words;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Phonologically;AoA;Imag;Fr;L;P;S;N
;;;;;;;;all;Sem.R;Opaque;;;;;;;
tiniebla (darkness);4.1;5.1;0.3;8;8;3;1;10;10;tenebroso (dark);4.7;5.7;2;9;9;4;1
tierno (tender);4.1;5;2.7;6;6;2;1;12;12;ternura (tenderness);4;5.2;2.1;7;7;3;2
tierra (earth);2.3;6.9;3.9;6;5;2;5;38;38;terrero (heap of earth);5.1;5.9;0;7;6;3;10
trueno (thunder);3.1;6.4;2.2;6;6;2;1;18;12;tronido (thurnderclap);6.8;5.6;0;7;7;3;1
viejo (old);2.6;6.1;4.2;5;5;2;2;21;21;vejez (old age);4.4;6.6;2;5;5;2;0
viento (wind);2.4;6;3.2;6;6;2;3;26;26;ventoso (windy);5;6;1.4;7;7;3;2
vientre (belly);3.8;6.4;2.5;7;7;2;1;16;16;ventral (ventral);6.6;5.2;0.7;7;7;2;2
ver (to see)*;1.9;4.8;4.7;3;3;1;7;18;18;vidente (clairvoyant);5.1;7;2.2;7;7;3;3
ver (to see)*;1.9;4.8;4.7;3;3;1;7;18;18;visible (visible);4.4;6;2.2;7;7;3;2
vida (life);3;4.2;4.7;4;4;2;11;25;8;vital (vital);5.2;4.7;2.6;5;5;2;6
vuelo (flight);2.7;5.9;3.5;5;5;2;4;29;29;volante (flyer);3.3;7.8;2.7;7;7;3;3
